Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Mike Scott,PHI,@HOU,08/14/2020,W,20,10,3,4,75.0,1,2,50.0,3,4,75.0,1,6,7,3,0,0,0,0,37
Chris Clemons,HOU,vs.PHI,08/14/2020,L,17,4,2,7,28.6,0,5,0.0,0,0,-,0,1,1,4,1,1,1,4,-23
Joel Embiid,PHI,@HOU,08/14/2020,W,23,14,6,12,50.0,0,0,-,2,3,66.7,2,4,6,1,1,1,5,5,9
P.J. Tucker,HOU,vs.PHI,08/14/2020,L,29,7,3,6,50.0,1,4,25.0,0,0,-,0,1,1,2,0,1,0,2,-12
Jeff Green,HOU,vs.PHI,08/14/2020,L,25,17,8,10,80.0,0,2,0.0,1,1,100,0,0,0,4,1,1,0,4,-7
Eric Gordon,HOU,vs.PHI,08/14/2020,L,23,13,4,10,40.0,3,6,50.0,2,2,100,0,2,2,2,0,1,1,1,-12
Austin Rivers,HOU,vs.PHI,08/14/2020,L,12,1,0,2,0.0,0,2,0.0,1,2,50.0,0,1,1,0,1,0,1,0,-16
Ben McLemore,HOU,vs.PHI,08/14/2020,L,11,3,1,4,25.0,1,3,33.3,0,0,-,0,2,2,1,1,0,0,0,-17
Robert Covington,HOU,vs.PHI,08/14/2020,L,24,5,1,4,25.0,1,4,25.0,2,2,100,0,5,5,1,2,2,1,1,-3
Al Horford,PHI,@HOU,08/14/2020,W,22,10,4,7,57.1,2,3,66.7,0,0,-,0,3,3,4,0,0,3,3,0
Alec Burks,PHI,@HOU,08/14/2020,W,22,16,6,11,54.5,4,6,66.7,0,0,-,2,3,5,5,2,0,0,0,37
Tobias Harris,PHI,@HOU,08/14/2020,W,24,18,6,10,60.0,2,3,66.7,4,4,100,0,7,7,4,1,0,0,0,2
Norvel Pelle,PHI,@HOU,08/14/2020,W,9,6,3,4,75.0,0,1,0.0,0,0,-,0,2,2,0,0,0,1,2,0
Josh Richardson,PHI,@HOU,08/14/2020,W,23,5,2,4,50.0,1,2,50.0,0,0,-,0,1,1,1,0,0,0,2,0
Furkan Korkmaz,PHI,@HOU,08/14/2020,W,17,12,4,7,57.1,2,5,40.0,2,2,100,0,5,5,1,0,0,2,1,27
Marial Shayok,PHI,@HOU,08/14/2020,W,8,5,1,4,25.0,1,3,33.3,2,2,100,1,1,2,0,0,0,1,1,4
James Harden,HOU,vs.PHI,08/14/2020,L,26,27,9,16,56.3,4,9,44.4,5,5,100,0,3,3,10,1,2,7,1,-11
Michael Frazier,HOU,vs.PHI,08/14/2020,L,17,0,0,4,0.0,0,4,0.0,0,0,-,0,1,1,0,0,0,1,1,-23
Shake Milton,PHI,@HOU,08/14/2020,W,19,11,4,7,57.1,3,6,50.0,0,0,-,0,2,2,1,0,0,2,3,-5
Matisse Thybulle,PHI,@HOU,08/14/2020,W,18,7,3,4,75.0,1,2,50.0,0,0,-,1,1,2,1,4,2,1,1,36
