Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DeMarcus Cousins,HOU,vs.LAL,01/10/2021,L,8,6,2,5,40.0,2,4,50.0,0,0,-,1,3,4,0,1,0,1,1,6
Alex Caruso,LAL,@HOU,01/10/2021,W,22,3,1,5,20.0,0,1,0.0,1,2,50.0,2,2,4,4,3,0,0,1,3
Kyle Kuzma,LAL,@HOU,01/10/2021,W,24,13,5,12,41.7,3,8,37.5,0,0,-,0,2,2,1,0,1,3,0,-4
Jae'Sean Tate,HOU,vs.LAL,01/10/2021,L,20,9,3,4,75.0,0,0,-,3,4,75.0,3,3,6,1,2,1,1,2,-3
Kenyon Martin Jr.,HOU,vs.LAL,01/10/2021,L,3,0,0,3,0.0,0,0,-,0,0,-,2,0,2,1,0,0,0,0,0
Markieff Morris,LAL,@HOU,01/10/2021,W,3,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,1,-5
Christian Wood,HOU,vs.LAL,01/10/2021,L,32,23,10,20,50.0,1,5,20.0,2,3,66.7,1,2,3,1,0,1,1,4,-21
Montrezl Harrell,LAL,@HOU,01/10/2021,W,23,16,7,11,63.6,0,0,-,2,2,100,2,6,8,0,1,1,2,3,15
Dennis Schroder,LAL,@HOU,01/10/2021,W,35,8,3,10,30.0,1,3,33.3,1,2,50.0,0,5,5,7,2,2,0,2,17
David Nwaba,HOU,vs.LAL,01/10/2021,L,17,6,2,6,33.3,1,3,33.3,1,2,50.0,0,1,1,1,1,1,0,3,-15
Sterling Brown,HOU,vs.LAL,01/10/2021,L,13,5,2,6,33.3,1,4,25.0,0,0,-,2,1,3,2,0,0,0,0,8
LeBron James,LAL,@HOU,01/10/2021,W,30,18,7,15,46.7,1,6,16.7,3,6,50.0,1,6,7,7,1,1,2,2,10
Marc Gasol,LAL,@HOU,01/10/2021,W,25,6,2,6,33.3,1,2,50.0,1,1,100,0,7,7,2,0,0,2,5,3
Kentavious Caldwell-Pope,LAL,@HOU,01/10/2021,W,22,7,3,9,33.3,1,4,25.0,0,0,-,1,3,4,3,2,0,2,1,14
Quinn Cook,LAL,@HOU,01/10/2021,W,3,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,0
Alfonzo McKinnie,LAL,@HOU,01/10/2021,W,3,2,1,2,50.0,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0
Talen Horton-Tucker,LAL,@HOU,01/10/2021,W,21,17,7,8,87.5,2,3,66.7,1,1,100,2,3,5,3,4,0,2,4,8
Bruno Caboclo,HOU,vs.LAL,01/10/2021,L,3,2,1,2,50.0,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0
Mason Jones,HOU,vs.LAL,01/10/2021,L,3,3,1,2,50.0,0,1,0.0,1,2,50.0,1,2,3,0,0,0,0,0,0
