Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Davis Bertans,WAS,@PHI,01/06/2021,L,33,17,6,15,40.0,4,12,33.3,1,1,100,1,3,4,1,2,0,2,3,0
Tyrese Maxey,PHI,vs.WAS,01/06/2021,W,11,2,1,1,100,0,0,-,0,0,-,0,2,2,1,0,0,0,1,-9
Matisse Thybulle,PHI,vs.WAS,01/06/2021,W,18,2,1,2,50.0,0,0,-,0,0,-,0,0,0,1,1,1,0,3,-9
Shake Milton,PHI,vs.WAS,01/06/2021,W,20,19,6,9,66.7,1,3,33.3,6,8,75.0,0,0,0,3,1,0,4,3,-5
Ben Simmons,PHI,vs.WAS,01/06/2021,W,36,17,7,9,77.8,0,0,-,3,6,50.0,0,6,6,12,2,0,3,5,6
Raul Neto,WAS,@PHI,01/06/2021,L,12,5,2,4,50.0,1,2,50.0,0,0,-,0,0,0,2,1,0,0,3,10
Danny Green,PHI,vs.WAS,01/06/2021,W,30,15,5,10,50.0,5,8,62.5,0,0,-,1,2,3,5,2,0,1,3,14
Tobias Harris,PHI,vs.WAS,01/06/2021,W,41,19,8,16,50.0,3,7,42.9,0,2,0.0,0,7,7,3,0,0,2,2,7
Seth Curry,PHI,vs.WAS,01/06/2021,W,36,28,11,14,78.6,6,7,85.7,0,0,-,0,5,5,3,0,0,1,1,16
Joel Embiid,PHI,vs.WAS,01/06/2021,W,37,38,11,20,55.0,3,4,75.0,13,13,100,0,8,8,5,3,3,5,1,14
Terrance Ferguson,PHI,vs.WAS,01/06/2021,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Bradley Beal,WAS,@PHI,01/06/2021,L,38,60,20,35,57.1,7,10,70.0,13,15,86.7,4,3,7,5,1,0,4,3,-9
Thomas Bryant,WAS,@PHI,01/06/2021,L,34,11,4,6,66.7,0,2,0.0,3,3,100,2,4,6,1,0,0,0,4,-14
Jerome Robinson,WAS,@PHI,01/06/2021,L,5,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,2,-3
Rui Hachimura,WAS,@PHI,01/06/2021,L,24,8,2,4,50.0,1,1,100,3,4,75.0,0,2,2,0,0,0,0,1,-13
Deni Avdija,WAS,@PHI,01/06/2021,L,16,1,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,1,0,3,-8
Anthony Gill,WAS,@PHI,01/06/2021,L,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,2
Dwight Howard,PHI,vs.WAS,01/06/2021,W,11,1,0,0,-,0,0,-,1,4,25.0,0,4,4,0,0,2,0,2,-9
Russell Westbrook,WAS,@PHI,01/06/2021,L,39,20,8,18,44.4,3,6,50.0,1,4,25.0,0,8,8,12,3,1,6,4,-4
Robin Lopez,WAS,@PHI,01/06/2021,L,14,5,1,3,33.3,0,1,0.0,3,4,75.0,1,1,2,1,0,0,0,1,9
P.J. Tucker,HOU,@IND,01/06/2021,L,33,10,3,4,75.0,2,2,100,2,2,100,1,5,6,0,1,1,2,6,3
Eric Gordon,HOU,@IND,01/06/2021,L,33,20,7,15,46.7,2,10,20.0,4,4,100,0,1,1,1,0,2,0,3,-18
James Harden,HOU,@IND,01/06/2021,L,39,15,5,14,35.7,1,5,20.0,4,4,100,0,4,4,12,1,2,4,2,3
John Wall,HOU,@IND,01/06/2021,L,37,28,12,20,60.0,0,3,0.0,4,4,100,1,5,6,3,2,1,5,1,7
DeMarcus Cousins,HOU,@IND,01/06/2021,L,23,9,2,9,22.2,1,2,50.0,4,6,66.7,2,12,14,1,2,4,1,3,-4
David Nwaba,HOU,@IND,01/06/2021,L,37,15,6,11,54.5,1,5,20.0,2,4,50.0,1,3,4,0,0,2,2,2,7
Sterling Brown,HOU,@IND,01/06/2021,L,14,2,1,2,50.0,0,0,-,0,0,-,0,2,2,0,1,0,1,1,-15
Jae'Sean Tate,HOU,@IND,01/06/2021,L,24,8,3,6,50.0,1,3,33.3,1,2,50.0,0,2,2,2,0,0,1,4,-13
Aaron Holiday,IND,vs.HOU,01/06/2021,W,28,7,3,8,37.5,1,4,25.0,0,0,-,0,0,0,3,0,0,0,3,-4
Malcolm Brogdon,IND,vs.HOU,01/06/2021,W,39,35,13,25,52.0,4,6,66.7,5,5,100,1,1,2,7,3,0,1,3,-1
T.J. McConnell,IND,vs.HOU,01/06/2021,W,19,4,2,5,40.0,0,0,-,0,0,-,0,3,3,3,3,0,0,1,17
Doug McDermott,IND,vs.HOU,01/06/2021,W,16,6,2,2,100,0,0,-,2,2,100,0,2,2,0,0,0,0,2,13
Victor Oladipo,IND,vs.HOU,01/06/2021,W,36,18,6,20,30.0,1,7,14.3,5,8,62.5,0,9,9,2,1,0,2,4,-14
Justin Holiday,IND,vs.HOU,01/06/2021,W,32,20,6,9,66.7,3,4,75.0,5,5,100,2,3,5,0,1,0,1,0,18
Domantas Sabonis,IND,vs.HOU,01/06/2021,W,38,22,9,14,64.3,0,0,-,4,6,66.7,3,9,12,4,0,1,5,4,4
Myles Turner,IND,vs.HOU,01/06/2021,W,32,2,1,6,16.7,0,2,0.0,0,0,-,1,4,5,2,2,8,0,4,-1
Terrence Ross,ORL,vs.CLE,01/06/2021,W,22,20,6,9,66.7,5,6,83.3,3,4,75.0,0,2,2,2,1,1,1,5,17
Nikola Vucevic,ORL,vs.CLE,01/06/2021,W,34,16,7,18,38.9,1,5,20.0,1,1,100,0,7,7,6,0,1,2,2,1
Lamar Stevens,CLE,@ORL,01/06/2021,L,21,10,4,9,44.4,0,2,0.0,2,2,100,1,5,6,1,0,0,0,2,1
Isaac Okoro,CLE,@ORL,01/06/2021,L,28,10,4,5,80.0,0,1,0.0,2,2,100,0,0,0,2,0,0,0,3,-1
Damyean Dotson,CLE,@ORL,01/06/2021,L,16,4,2,5,40.0,0,3,0.0,0,0,-,0,0,0,3,0,0,0,0,-8
Cedi Osman,CLE,@ORL,01/06/2021,L,33,4,1,12,8.3,0,7,0.0,2,2,100,0,5,5,7,3,0,2,4,-20
Andre Drummond,CLE,@ORL,01/06/2021,L,26,19,9,16,56.3,0,0,-,1,4,25.0,6,9,15,1,1,1,5,4,-12
JaVale McGee,CLE,@ORL,01/06/2021,L,17,6,2,6,33.3,0,1,0.0,2,2,100,2,3,5,3,2,0,1,1,-5
James Ennis III,ORL,vs.CLE,01/06/2021,W,16,6,2,3,66.7,0,1,0.0,2,2,100,2,0,2,1,0,0,2,2,10
Khem Birch,ORL,vs.CLE,01/06/2021,W,25,6,3,4,75.0,0,0,-,0,0,-,4,6,10,2,1,0,1,3,18
Aaron Gordon,ORL,vs.CLE,01/06/2021,W,27,15,5,7,71.4,2,2,100,3,7,42.9,0,8,8,3,1,1,5,1,8
Karim Mane,ORL,vs.CLE,01/06/2021,W,4,2,0,1,0.0,0,0,-,2,2,100,0,0,0,0,0,0,1,0,-6
Larry Nance Jr.,CLE,@ORL,01/06/2021,L,33,10,4,7,57.1,1,3,33.3,1,6,16.7,0,3,3,1,1,0,2,4,-20
Collin Sexton,CLE,@ORL,01/06/2021,L,35,21,8,20,40.0,3,7,42.9,2,2,100,1,2,3,4,1,1,0,1,-13
Gary Clark,ORL,vs.CLE,01/06/2021,W,28,3,1,4,25.0,1,3,33.3,0,0,-,1,3,4,1,0,0,0,4,-1
Thon Maker,CLE,@ORL,01/06/2021,L,14,6,2,3,66.7,0,1,0.0,2,2,100,2,4,6,2,0,0,0,0,6
Dean Wade,CLE,@ORL,01/06/2021,L,13,2,0,2,0.0,0,1,0.0,2,2,100,0,0,0,0,0,0,0,0,7
Marques Bolden,CLE,@ORL,01/06/2021,L,5,2,0,0,-,0,0,-,2,2,100,1,1,2,0,1,2,0,0,10
Cole Anthony,ORL,vs.CLE,01/06/2021,W,32,8,4,12,33.3,0,4,0.0,0,0,-,0,4,4,3,0,1,3,1,11
Jordan Bone,ORL,vs.CLE,01/06/2021,W,12,7,3,4,75.0,1,2,50.0,0,0,-,1,2,3,1,0,0,0,2,8
Mo Bamba,ORL,vs.CLE,01/06/2021,W,4,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,2,-6
Dwayne Bacon,ORL,vs.CLE,01/06/2021,W,32,19,8,14,57.1,2,5,40.0,1,1,100,0,2,2,1,0,0,0,0,3
Markelle Fultz,ORL,vs.CLE,01/06/2021,W,4,3,1,3,33.3,0,0,-,1,1,100,0,0,0,0,1,0,0,0,-8
Kent Bazemore,GSW,vs.LAC,01/06/2021,L,19,7,3,5,60.0,1,2,50.0,0,0,-,0,3,3,2,0,1,0,0,4
Brad Wanamaker,GSW,vs.LAC,01/06/2021,L,15,5,1,3,33.3,1,1,100,2,2,100,1,1,2,3,1,0,0,1,8
Marcus Morris Sr.,LAC,@GSW,01/06/2021,W,18,12,4,9,44.4,2,6,33.3,2,2,100,2,0,2,2,0,0,3,3,-11
Paul George,LAC,@GSW,01/06/2021,W,39,21,5,15,33.3,2,6,33.3,9,9,100,2,10,12,2,1,0,2,4,5
Lou Williams,LAC,@GSW,01/06/2021,W,20,3,1,4,25.0,1,2,50.0,0,0,-,0,1,1,3,1,0,1,1,-4
Mfiondu Kabengele,LAC,@GSW,01/06/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Reggie Jackson,LAC,@GSW,01/06/2021,W,8,6,3,5,60.0,0,1,0.0,0,0,-,0,2,2,3,0,0,0,1,3
Kawhi Leonard,LAC,@GSW,01/06/2021,W,35,21,7,12,58.3,0,3,0.0,7,7,100,0,4,4,4,1,1,7,2,14
Patrick Beverley,LAC,@GSW,01/06/2021,W,30,7,2,8,25.0,1,5,20.0,2,2,100,1,0,1,3,1,1,0,3,8
Nicolas Batum,LAC,@GSW,01/06/2021,W,26,13,4,9,44.4,3,6,50.0,2,2,100,3,2,5,0,1,0,1,2,13
James Wiseman,GSW,vs.LAC,01/06/2021,L,18,10,5,10,50.0,0,0,-,0,0,-,1,3,4,0,1,1,3,3,-7
Mychal Mulder,GSW,vs.LAC,01/06/2021,L,8,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,1,0,0,0,1,-3
Damion Lee,GSW,vs.LAC,01/06/2021,L,22,7,2,5,40.0,2,4,50.0,1,2,50.0,0,3,3,1,2,0,1,1,3
Kevon Looney,GSW,vs.LAC,01/06/2021,L,12,6,2,2,100,0,0,-,2,2,100,2,1,3,3,1,0,3,2,-4
Kelly Oubre Jr.,GSW,vs.LAC,01/06/2021,L,25,8,4,13,30.8,0,6,0.0,0,0,-,1,4,5,0,1,0,2,4,-11
Draymond Green,GSW,vs.LAC,01/06/2021,L,31,4,1,3,33.3,0,2,0.0,2,3,66.7,0,6,6,6,2,0,3,4,-11
Stephen Curry,GSW,vs.LAC,01/06/2021,L,35,13,5,17,29.4,1,6,16.7,2,4,50.0,1,3,4,5,1,0,0,3,-10
Andrew Wiggins,GSW,vs.LAC,01/06/2021,L,34,19,8,12,66.7,2,4,50.0,1,1,100,0,1,1,3,1,0,1,1,-7
Eric Paschall,GSW,vs.LAC,01/06/2021,L,20,19,7,14,50.0,0,3,0.0,5,5,100,2,1,3,1,0,0,0,1,3
Terance Mann,LAC,@GSW,01/06/2021,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Serge Ibaka,LAC,@GSW,01/06/2021,W,35,12,5,13,38.5,1,4,25.0,1,1,100,3,11,14,1,1,1,3,3,13
Luke Kennard,LAC,@GSW,01/06/2021,W,19,9,3,4,75.0,1,1,100,2,2,100,0,1,1,1,0,0,1,2,-6
Ivica Zubac,LAC,@GSW,01/06/2021,W,10,4,2,2,100,0,0,-,0,0,-,1,5,6,0,0,0,1,5,0
Thaddeus Young,CHI,@SAC,01/06/2021,L,21,8,4,5,80.0,0,1,0.0,0,0,-,0,2,2,0,0,0,3,2,-1
Garrett Temple,CHI,@SAC,01/06/2021,L,33,11,3,6,50.0,3,5,60.0,2,2,100,2,0,2,4,0,0,4,3,-8
Otto Porter Jr.,CHI,@SAC,01/06/2021,L,26,3,1,8,12.5,1,5,20.0,0,0,-,1,5,6,3,0,0,0,1,-14
Zach LaVine,CHI,@SAC,01/06/2021,L,36,32,13,24,54.2,3,11,27.3,3,5,60.0,0,7,7,3,0,1,6,3,-4
Denzel Valentine,CHI,@SAC,01/06/2021,L,21,10,4,10,40.0,2,7,28.6,0,0,-,0,4,4,5,2,0,0,2,9
Wendell Carter Jr.,CHI,@SAC,01/06/2021,L,30,11,4,9,44.4,0,0,-,3,4,75.0,6,11,17,4,0,0,1,1,2
Coby White,CHI,@SAC,01/06/2021,L,40,36,15,23,65.2,4,9,44.4,2,2,100,0,3,3,7,0,0,0,1,-6
Daniel Gafford,CHI,@SAC,01/06/2021,L,11,4,2,2,100,0,0,-,0,0,-,0,0,0,0,0,1,0,3,0
Patrick Williams,CHI,@SAC,01/06/2021,L,22,9,3,6,50.0,1,2,50.0,2,2,100,1,1,2,1,1,0,0,5,5
Nemanja Bjelica,SAC,vs.CHI,01/06/2021,W,19,12,3,7,42.9,1,4,25.0,5,6,83.3,2,2,4,5,0,0,0,2,0
Cory Joseph,SAC,vs.CHI,01/06/2021,W,25,7,3,10,30.0,0,3,0.0,1,2,50.0,0,2,2,3,0,0,0,2,2
Harrison Barnes,SAC,vs.CHI,01/06/2021,W,37,20,7,10,70.0,3,4,75.0,3,5,60.0,0,0,0,5,1,0,3,1,7
Glenn Robinson III,SAC,vs.CHI,01/06/2021,W,24,14,5,7,71.4,2,3,66.7,2,2,100,0,3,3,2,0,0,0,0,-2
Richaun Holmes,SAC,vs.CHI,01/06/2021,W,30,24,10,11,90.9,0,1,0.0,4,6,66.7,3,5,8,5,1,0,1,5,10
Buddy Hield,SAC,vs.CHI,01/06/2021,W,35,10,3,15,20.0,2,9,22.2,2,2,100,0,3,3,3,1,0,1,3,7
De'Aaron Fox,SAC,vs.CHI,01/06/2021,W,5,3,1,2,50.0,0,1,0.0,1,2,50.0,0,0,0,1,0,0,0,0,2
Marvin Bagley III,SAC,vs.CHI,01/06/2021,W,29,21,8,14,57.1,3,5,60.0,2,2,100,3,9,12,0,2,2,2,1,2
Tyrese Haliburton,SAC,vs.CHI,01/06/2021,W,35,17,7,15,46.7,3,7,42.9,0,0,-,4,3,7,6,3,1,0,2,-4
Kyle Lowry,TOR,@PHX,01/06/2021,L,38,24,9,15,60.0,3,8,37.5,3,3,100,2,7,9,6,1,0,4,4,-5
Cameron Johnson,PHX,vs.TOR,01/06/2021,W,23,16,6,10,60.0,4,7,57.1,0,0,-,0,3,3,0,1,0,1,1,9
Yuta Watanabe,TOR,@PHX,01/06/2021,L,16,3,1,4,25.0,1,2,50.0,0,0,-,1,2,3,0,0,1,1,2,-14
Jevon Carter,PHX,vs.TOR,01/06/2021,W,17,6,2,4,50.0,2,4,50.0,0,0,-,0,1,1,0,0,2,1,2,10
Mikal Bridges,PHX,vs.TOR,01/06/2021,W,29,13,3,10,30.0,3,7,42.9,4,4,100,3,1,4,3,0,1,1,4,4
Chris Boucher,TOR,@PHX,01/06/2021,L,15,9,3,4,75.0,2,3,66.7,1,1,100,0,2,2,1,0,1,1,1,-6
OG Anunoby,TOR,@PHX,01/06/2021,L,38,20,8,10,80.0,3,5,60.0,1,2,50.0,2,6,8,0,1,0,1,2,0
Norman Powell,TOR,@PHX,01/06/2021,L,26,13,2,7,28.6,2,5,40.0,7,8,87.5,0,1,1,1,1,0,1,1,-10
Cameron Payne,PHX,vs.TOR,01/06/2021,W,16,5,1,3,33.3,1,1,100,2,2,100,0,3,3,10,0,0,1,2,7
Dario Saric,PHX,vs.TOR,01/06/2021,W,17,15,6,11,54.5,2,3,66.7,1,1,100,1,4,5,1,0,0,0,2,9
Chris Paul,PHX,vs.TOR,01/06/2021,W,32,12,4,12,33.3,0,0,-,4,4,100,1,3,4,8,2,0,0,2,1
Jae Crowder,PHX,vs.TOR,01/06/2021,W,35,21,7,11,63.6,6,9,66.7,1,2,50.0,0,3,3,1,1,0,2,4,-2
Langston Galloway,PHX,vs.TOR,01/06/2021,W,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,0,1
Devin Booker,PHX,vs.TOR,01/06/2021,W,35,24,6,14,42.9,3,8,37.5,9,10,90.0,1,0,1,6,0,0,1,1,2
Deandre Ayton,PHX,vs.TOR,01/06/2021,W,31,11,5,8,62.5,0,1,0.0,1,1,100,2,14,16,1,0,0,2,5,-1
Aron Baynes,TOR,@PHX,01/06/2021,L,13,0,0,2,0.0,0,1,0.0,0,0,-,0,5,5,0,0,0,1,1,4
Alex Len,TOR,@PHX,01/06/2021,L,12,1,0,1,0.0,0,1,0.0,1,2,50.0,0,1,1,0,0,1,1,2,-10
DeAndre' Bembry,TOR,@PHX,01/06/2021,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Pascal Siakam,TOR,@PHX,01/06/2021,L,38,32,11,21,52.4,1,4,25.0,9,14,64.3,4,5,9,3,1,1,1,3,-1
Fred VanVleet,TOR,@PHX,01/06/2021,L,39,13,5,12,41.7,2,5,40.0,1,2,50.0,1,3,4,7,2,1,1,3,5
Malachi Flynn,TOR,@PHX,01/06/2021,L,4,0,0,3,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-1
JJ Redick,NOP,vs.OKC,01/06/2021,L,8,2,1,4,25.0,0,0,-,0,0,-,0,0,0,1,0,0,0,0,-5
Eric Bledsoe,NOP,vs.OKC,01/06/2021,L,25,13,5,9,55.6,2,4,50.0,1,2,50.0,0,3,3,3,2,0,2,1,-11
Steven Adams,NOP,vs.OKC,01/06/2021,L,34,10,4,5,80.0,0,0,-,2,5,40.0,2,9,11,10,1,0,2,2,4
Brandon Ingram,NOP,vs.OKC,01/06/2021,L,36,24,9,15,60.0,0,2,0.0,6,6,100,1,10,11,4,0,0,2,0,5
Lonzo Ball,NOP,vs.OKC,01/06/2021,L,36,15,6,18,33.3,2,9,22.2,1,1,100,0,4,4,4,0,0,4,5,5
Josh Hart,NOP,vs.OKC,01/06/2021,L,28,0,0,4,0.0,0,2,0.0,0,0,-,2,8,10,1,3,0,2,2,-7
Zion Williamson,NOP,vs.OKC,01/06/2021,L,32,29,12,17,70.6,0,0,-,5,6,83.3,3,3,6,1,3,0,2,3,-9
Jaxson Hayes,NOP,vs.OKC,01/06/2021,L,14,4,2,3,66.7,0,0,-,0,0,-,0,2,2,0,0,0,0,2,-5
Nickeil Alexander-Walker,NOP,vs.OKC,01/06/2021,L,27,13,5,14,35.7,0,5,0.0,3,3,100,1,4,5,1,2,0,1,3,0
Al Horford,OKC,@NOP,01/06/2021,W,27,8,3,11,27.3,2,7,28.6,0,0,-,1,6,7,1,0,3,1,3,4
Theo Maledon,OKC,@NOP,01/06/2021,W,19,6,2,4,50.0,2,2,100,0,0,-,0,2,2,4,0,0,3,3,1
Isaiah Roby,OKC,@NOP,01/06/2021,W,11,5,2,2,100,1,1,100,0,0,-,1,1,2,0,0,0,2,2,6
Luguentz Dort,OKC,@NOP,01/06/2021,W,31,9,3,4,75.0,1,2,50.0,2,2,100,0,1,1,1,0,0,0,2,4
Darius Bazley,OKC,@NOP,01/06/2021,W,34,20,8,20,40.0,3,11,27.3,1,1,100,1,11,12,3,1,0,3,3,9
Kenrich Williams,OKC,@NOP,01/06/2021,W,13,2,1,3,33.3,0,1,0.0,0,0,-,0,2,2,2,1,0,1,2,10
Shai Gilgeous-Alexander,OKC,@NOP,01/06/2021,W,37,21,7,17,41.2,2,7,28.6,5,6,83.3,0,5,5,9,5,0,2,2,-4
Hamidou Diallo,OKC,@NOP,01/06/2021,W,21,9,4,8,50.0,0,1,0.0,1,4,25.0,0,1,1,3,1,1,1,0,6
Mike Muscala,OKC,@NOP,01/06/2021,W,21,18,6,9,66.7,5,7,71.4,1,1,100,0,3,3,1,0,1,0,0,6
George Hill,OKC,@NOP,01/06/2021,W,27,13,4,9,44.4,3,7,42.9,2,2,100,1,2,3,4,2,0,1,1,4
Delon Wright,DET,@MIL,01/06/2021,L,25,3,1,8,12.5,1,5,20.0,0,0,-,0,1,1,3,1,0,0,0,-12
Svi Mykhailiuk,DET,@MIL,01/06/2021,L,14,8,3,8,37.5,2,6,33.3,0,0,-,0,2,2,4,0,0,0,1,-5
Sekou Doumbouya,DET,@MIL,01/06/2021,L,13,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,1,0,3,-7
Jerami Grant,DET,@MIL,01/06/2021,L,35,31,9,20,45.0,2,6,33.3,11,11,100,4,6,10,1,0,0,0,2,-14
Bobby Portis,MIL,vs.DET,01/06/2021,W,28,16,7,11,63.6,2,5,40.0,0,0,-,1,9,10,4,2,0,1,3,1
Saben Lee,DET,@MIL,01/06/2021,L,12,4,1,5,20.0,0,1,0.0,2,4,50.0,1,0,1,1,2,0,3,1,1
Isaiah Stewart,DET,@MIL,01/06/2021,L,20,5,2,6,33.3,0,0,-,1,2,50.0,4,3,7,0,0,0,2,2,3
Saddiq Bey,DET,@MIL,01/06/2021,L,24,20,6,14,42.9,6,10,60.0,2,2,100,0,10,10,3,1,0,1,1,-9
Deividas Sirvydis,DET,@MIL,01/06/2021,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Bryn Forbes,MIL,vs.DET,01/06/2021,W,22,8,3,7,42.9,2,6,33.3,0,2,0.0,0,1,1,1,1,0,2,2,8
Thanasis Antetokounmpo,MIL,vs.DET,01/06/2021,W,12,8,4,4,100,0,0,-,0,0,-,0,2,2,1,0,0,0,1,-5
Giannis Antetokounmpo,MIL,vs.DET,01/06/2021,W,28,25,8,15,53.3,1,5,20.0,8,14,57.1,2,6,8,4,0,1,5,4,24
Khris Middleton,MIL,vs.DET,01/06/2021,W,31,23,9,15,60.0,5,6,83.3,0,0,-,1,4,5,7,0,0,2,3,17
Jrue Holiday,MIL,vs.DET,01/06/2021,W,30,10,4,11,36.4,0,3,0.0,2,2,100,2,3,5,6,0,0,1,2,10
Brook Lopez,MIL,vs.DET,01/06/2021,W,28,17,6,9,66.7,4,7,57.1,1,1,100,1,3,4,5,0,2,0,1,13
D.J. Augustin,MIL,vs.DET,01/06/2021,W,22,8,2,4,50.0,2,4,50.0,2,2,100,0,4,4,6,1,0,1,2,14
Donte DiVincenzo,MIL,vs.DET,01/06/2021,W,22,4,2,8,25.0,0,3,0.0,0,0,-,1,3,4,1,0,0,2,2,10
Jaylen Adams,MIL,vs.DET,01/06/2021,W,1,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-2
Jordan Nwora,MIL,vs.DET,01/06/2021,W,15,11,4,5,80.0,3,3,100,0,0,-,1,3,4,0,1,1,0,2,3
Derrick Rose,DET,@MIL,01/06/2021,L,11,10,3,7,42.9,0,1,0.0,4,4,100,0,1,1,1,0,0,0,1,-6
Blake Griffin,DET,@MIL,01/06/2021,L,26,9,2,9,22.2,0,6,0.0,5,6,83.3,0,1,1,5,1,0,1,2,-19
Wayne Ellington,DET,@MIL,01/06/2021,L,24,12,5,9,55.6,2,6,33.3,0,0,-,1,2,3,0,1,1,0,2,-17
Mason Plumlee,DET,@MIL,01/06/2021,L,17,4,2,5,40.0,0,0,-,0,0,-,2,3,5,1,0,1,2,4,-22
Rodney McGruder,DET,@MIL,01/06/2021,L,7,3,1,1,100,0,0,-,1,1,100,1,0,1,0,0,0,0,1,8
Jahlil Okafor,DET,@MIL,01/06/2021,L,11,6,3,5,60.0,0,0,-,0,0,-,2,1,3,0,0,0,0,0,2
P.J. Washington,CHA,@ATL,01/06/2021,W,38,9,3,8,37.5,1,2,50.0,2,2,100,0,10,10,4,2,3,3,1,16
Devonte' Graham,CHA,@ATL,01/06/2021,W,39,14,3,15,20.0,3,10,30.0,5,6,83.3,0,4,4,7,4,0,2,2,12
John Collins,ATL,vs.CHA,01/06/2021,L,32,23,9,16,56.3,0,0,-,5,7,71.4,4,7,11,1,1,0,2,4,-12
LaMelo Ball,CHA,@ATL,01/06/2021,W,24,13,5,11,45.5,1,4,25.0,2,2,100,2,6,8,5,0,0,1,2,0
Miles Bridges,CHA,@ATL,01/06/2021,W,22,2,0,5,0.0,0,3,0.0,2,2,100,2,4,6,2,2,0,0,2,10
Clint Capela,ATL,vs.CHA,01/06/2021,L,26,7,3,8,37.5,0,0,-,1,2,50.0,6,13,19,1,0,1,0,1,2
De'Andre Hunter,ATL,vs.CHA,01/06/2021,L,34,17,6,15,40.0,1,7,14.3,4,4,100,2,4,6,5,1,0,0,4,-4
Cam Reddish,ATL,vs.CHA,01/06/2021,L,27,8,3,15,20.0,0,8,0.0,2,2,100,0,4,4,2,1,0,1,1,-3
Terry Rozier,CHA,@ATL,01/06/2021,W,28,14,4,10,40.0,2,5,40.0,4,5,80.0,0,3,3,1,2,1,1,1,13
Cody Martin,CHA,@ATL,01/06/2021,W,11,2,0,2,0.0,0,1,0.0,2,2,100,0,2,2,0,0,0,0,0,-11
Nathan Knight,ATL,vs.CHA,01/06/2021,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,-8
Caleb Martin,CHA,@ATL,01/06/2021,W,15,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,0,0,0,1,1,-5
Kevin Huerter,ATL,vs.CHA,01/06/2021,L,33,19,7,15,46.7,5,12,41.7,0,0,-,0,5,5,6,0,0,1,4,-1
Trae Young,ATL,vs.CHA,01/06/2021,L,35,7,2,9,22.2,0,3,0.0,3,3,100,0,5,5,3,1,0,7,4,-15
Brandon Goodwin,ATL,vs.CHA,01/06/2021,L,20,9,4,10,40.0,1,5,20.0,0,0,-,0,3,3,2,2,0,1,1,9
Solomon Hill,ATL,vs.CHA,01/06/2021,L,11,2,1,2,50.0,0,1,0.0,0,0,-,0,2,2,2,0,0,1,1,1
Bismack Biyombo,CHA,@ATL,01/06/2021,W,24,2,1,5,20.0,0,0,-,0,2,0.0,2,6,8,1,0,2,0,2,-5
Bogdan Bogdanovic,ATL,vs.CHA,01/06/2021,L,18,2,1,5,20.0,0,3,0.0,0,0,-,0,2,2,3,0,0,0,4,-9
Gordon Hayward,CHA,@ATL,01/06/2021,W,39,44,15,25,60.0,4,9,44.4,10,12,83.3,2,5,7,2,1,1,1,3,10
Tristan Thompson,BOS,@MIA,01/06/2021,W,20,9,3,4,75.0,0,0,-,3,4,75.0,2,5,7,1,0,0,1,2,1
Precious Achiuwa,MIA,vs.BOS,01/06/2021,L,14,6,2,5,40.0,0,0,-,2,2,100,3,2,5,3,0,1,1,1,7
Tyler Herro,MIA,vs.BOS,01/06/2021,L,34,8,2,8,25.0,1,5,20.0,3,5,60.0,0,7,7,1,0,0,2,1,2
Duncan Robinson,MIA,vs.BOS,01/06/2021,L,31,16,5,11,45.5,5,11,45.5,1,1,100,0,6,6,2,1,0,0,2,11
Bam Adebayo,MIA,vs.BOS,01/06/2021,L,34,15,5,10,50.0,0,0,-,5,6,83.3,1,7,8,10,0,2,2,2,-10
Kelly Olynyk,MIA,vs.BOS,01/06/2021,L,21,11,4,7,57.1,3,6,50.0,0,0,-,0,5,5,0,0,0,0,4,2
Jimmy Butler,MIA,vs.BOS,01/06/2021,L,33,26,9,19,47.4,0,3,0.0,8,9,88.9,2,6,8,3,0,3,1,0,8
Avery Bradley,MIA,vs.BOS,01/06/2021,L,24,0,0,4,0.0,0,1,0.0,0,0,-,0,2,2,4,1,1,0,2,-4
Goran Dragic,MIA,vs.BOS,01/06/2021,L,28,14,5,12,41.7,1,5,20.0,3,3,100,0,0,0,2,0,0,2,3,-6
