Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Patrick Patterson,OKC,@MIA,04/09/2018,W,11,7,2,3,66.7,2,3,66.7,1,1,100,0,2,2,2,1,0,0,0,10
Russell Westbrook,OKC,@MIA,04/09/2018,W,38,23,8,21,38.1,2,5,40.0,5,6,83.3,3,15,18,13,1,0,6,3,12
Hassan Whiteside,MIA,vs.OKC,04/09/2018,L,21,16,8,10,80.0,0,0,-,0,2,0.0,1,7,8,1,0,3,0,4,-4
Derrick Jones Jr.,MIA,vs.OKC,04/09/2018,L,1,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Jerami Grant,OKC,@MIA,04/09/2018,W,21,17,4,6,66.7,0,0,-,9,11,81.8,0,5,5,0,1,2,0,1,24
Kelly Olynyk,MIA,vs.OKC,04/09/2018,L,12,5,2,6,33.3,1,3,33.3,0,0,-,1,5,6,1,0,0,1,4,-17
Josh Huestis,OKC,@MIA,04/09/2018,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Bam Adebayo,MIA,vs.OKC,04/09/2018,L,13,6,1,3,33.3,0,0,-,4,4,100,1,3,4,0,0,0,0,1,0
Terrance Ferguson,OKC,@MIA,04/09/2018,W,10,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,0,0,0,0,1,8
Alex Abrines,OKC,@MIA,04/09/2018,W,12,5,1,1,100,1,1,100,2,2,100,0,1,1,0,0,0,0,1,10
Carmelo Anthony,OKC,@MIA,04/09/2018,W,30,11,4,11,36.4,1,5,20.0,2,2,100,0,5,5,2,0,1,0,0,9
Steven Adams,OKC,@MIA,04/09/2018,W,32,7,3,6,50.0,0,0,-,1,4,25.0,2,1,3,1,1,1,1,2,-1
Paul George,OKC,@MIA,04/09/2018,W,37,27,7,19,36.8,5,13,38.5,8,9,88.9,0,3,3,1,1,0,1,2,6
Goran Dragic,MIA,vs.OKC,04/09/2018,L,30,4,2,10,20.0,0,3,0.0,0,0,-,0,2,2,7,0,0,2,1,-3
Nick Collison,OKC,@MIA,04/09/2018,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Dakari Johnson,OKC,@MIA,04/09/2018,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Justise Winslow,MIA,vs.OKC,04/09/2018,L,34,12,6,10,60.0,0,1,0.0,0,0,-,4,5,9,2,0,0,1,2,-35
James Johnson,MIA,vs.OKC,04/09/2018,L,22,11,5,7,71.4,0,0,-,1,2,50.0,0,5,5,0,0,0,2,6,9
Corey Brewer,OKC,@MIA,04/09/2018,W,33,6,2,5,40.0,0,2,0.0,2,2,100,2,2,4,1,4,0,0,4,15
Dwyane Wade,MIA,vs.OKC,04/09/2018,L,24,6,2,10,20.0,0,2,0.0,2,4,50.0,1,1,2,2,1,1,5,2,-31
Raymond Felton,OKC,@MIA,04/09/2018,W,14,9,3,7,42.9,2,4,50.0,1,1,100,0,1,1,1,0,0,1,1,15
Rodney McGruder,MIA,vs.OKC,04/09/2018,L,1,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-2
Boban Marjanovic,LAC,vs.NOP,04/09/2018,L,14,12,5,8,62.5,0,0,-,2,3,66.7,3,6,9,0,0,0,1,2,-2
Sam Dekker,LAC,vs.NOP,04/09/2018,L,23,7,3,5,60.0,0,0,-,1,2,50.0,2,5,7,3,0,0,1,3,19
C.J. Williams,LAC,vs.NOP,04/09/2018,L,30,10,5,12,41.7,0,5,0.0,0,0,-,0,3,3,3,1,0,0,3,-13
Anthony Davis,NOP,@LAC,04/09/2018,W,35,28,11,22,50.0,0,1,0.0,6,7,85.7,1,5,6,2,2,5,1,1,28
Nikola Mirotic,NOP,@LAC,04/09/2018,W,34,24,9,17,52.9,4,9,44.4,2,2,100,1,15,16,0,2,1,0,3,20
Ian Clark,NOP,@LAC,04/09/2018,W,28,13,5,9,55.6,3,6,50.0,0,0,-,0,4,4,6,1,0,0,0,12
DeAndre Jordan,LAC,vs.NOP,04/09/2018,L,22,9,4,7,57.1,0,0,-,1,3,33.3,5,10,15,2,1,1,1,1,-36
Jordan Crawford,NOP,@LAC,04/09/2018,W,4,0,0,4,0.0,0,2,0.0,0,0,-,0,0,0,1,0,0,0,0,-8
Cheick Diallo,NOP,@LAC,04/09/2018,W,11,6,3,6,50.0,0,0,-,0,1,0.0,3,2,5,1,1,0,0,4,-12
DeAndre Liggins,NOP,@LAC,04/09/2018,W,4,0,0,2,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-8
Solomon Hill,NOP,@LAC,04/09/2018,W,10,1,0,1,0.0,0,0,-,1,2,50.0,0,3,3,1,0,0,0,2,-1
Montrezl Harrell,LAC,vs.NOP,04/09/2018,L,33,15,7,15,46.7,0,0,-,1,4,25.0,1,7,8,6,2,3,2,2,0
Jrue Holiday,NOP,@LAC,04/09/2018,W,33,8,4,7,57.1,0,1,0.0,0,0,-,0,4,4,11,4,3,1,2,21
Rajon Rondo,NOP,@LAC,04/09/2018,W,25,5,2,6,33.3,1,2,50.0,0,2,0.0,1,3,4,9,2,0,5,2,14
Emeka Okafor,NOP,@LAC,04/09/2018,W,6,3,1,2,50.0,0,0,-,1,1,100,1,1,2,0,0,0,0,0,-11
E'Twaun Moore,NOP,@LAC,04/09/2018,W,31,19,7,13,53.8,2,6,33.3,3,3,100,1,4,5,3,1,0,0,1,32
Tyrone Wallace,LAC,vs.NOP,04/09/2018,L,37,10,5,15,33.3,0,2,0.0,0,0,-,2,2,4,4,0,0,3,3,-19
Sindarius Thornwell,LAC,vs.NOP,04/09/2018,L,32,20,9,14,64.3,2,3,66.7,0,3,0.0,0,5,5,7,2,2,3,2,1
Wesley Johnson,LAC,vs.NOP,04/09/2018,L,23,6,3,8,37.5,0,2,0.0,0,0,-,2,1,3,1,0,0,1,1,-2
Darius Miller,NOP,@LAC,04/09/2018,W,20,6,2,6,33.3,1,3,33.3,1,2,50.0,1,0,1,0,0,1,0,2,-22
Tobias Harris,LAC,vs.NOP,04/09/2018,L,26,11,4,14,28.6,0,5,0.0,3,4,75.0,2,5,7,3,0,0,4,1,-13
David Nwaba,CHI,@BKN,04/09/2018,L,30,11,5,11,45.5,1,1,100,0,0,-,6,4,10,1,0,0,4,4,-4
