Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Ivan Rabb,MEM,vs.GSW,04/10/2019,W,29,6,3,10,30.0,0,2,0.0,0,0,-,2,6,8,6,0,0,1,3,12
Bruno Caboclo,MEM,vs.GSW,04/10/2019,W,30,21,8,14,57.1,3,6,50.0,2,2,100,0,4,4,2,1,0,2,3,13
Justin Holiday,MEM,vs.GSW,04/10/2019,W,28,22,8,16,50.0,5,10,50.0,1,2,50.0,0,4,4,1,0,0,2,2,5
Yuta Watanabe,MEM,vs.GSW,04/10/2019,W,19,4,2,8,25.0,0,3,0.0,0,0,-,2,2,4,0,0,0,0,2,2
Tyler Dorsey,MEM,vs.GSW,04/10/2019,W,28,18,7,12,58.3,2,6,33.3,2,2,100,3,1,4,3,1,0,0,2,17
Klay Thompson,GSW,@MEM,04/10/2019,L,17,19,8,12,66.7,3,5,60.0,0,0,-,0,1,1,3,1,1,0,0,-12
Tyler Zeller,MEM,vs.GSW,04/10/2019,W,19,8,3,6,50.0,0,0,-,2,4,50.0,3,1,4,0,0,0,1,2,3
Andre Iguodala,GSW,@MEM,04/10/2019,L,22,5,2,10,20.0,1,6,16.7,0,0,-,1,0,1,5,0,0,1,0,-16
Quinn Cook,GSW,@MEM,04/10/2019,L,28,10,4,12,33.3,2,4,50.0,0,0,-,0,4,4,3,0,0,3,5,-4
Marcus Derrickson,GSW,@MEM,04/10/2019,L,8,13,4,5,80.0,4,4,100,1,1,100,1,1,2,0,0,0,0,0,12
Alfonzo McKinnie,GSW,@MEM,04/10/2019,L,18,4,2,3,66.7,0,1,0.0,0,1,0.0,0,3,3,1,0,0,1,3,-8
Kevon Looney,GSW,@MEM,04/10/2019,L,16,6,3,8,37.5,0,0,-,0,0,-,2,1,3,3,0,0,0,1,-7
Jevon Carter,MEM,vs.GSW,04/10/2019,W,26,32,10,18,55.6,8,12,66.7,4,4,100,1,3,4,2,1,0,1,1,18
Damion Lee,GSW,@MEM,04/10/2019,L,23,10,4,10,40.0,1,4,25.0,1,1,100,1,4,5,2,0,0,0,0,-9
Jacob Evans,GSW,@MEM,04/10/2019,L,25,8,3,7,42.9,2,3,66.7,0,0,-,1,2,3,4,0,0,1,2,5
Jordan Bell,GSW,@MEM,04/10/2019,L,28,15,6,9,66.7,0,0,-,3,4,75.0,2,6,8,1,0,1,2,2,-9
Andrew Bogut,GSW,@MEM,04/10/2019,L,18,0,0,1,0.0,0,0,-,0,0,-,1,5,6,1,1,2,5,1,-15
Delon Wright,MEM,vs.GSW,04/10/2019,W,37,13,3,7,42.9,3,5,60.0,4,4,100,3,8,11,11,3,0,3,1,15
Jonas Jerebko,GSW,@MEM,04/10/2019,L,18,6,3,5,60.0,0,1,0.0,0,0,-,0,3,3,3,0,1,1,2,-3
Julian Washburn,MEM,vs.GSW,04/10/2019,W,23,8,4,7,57.1,0,2,0.0,0,0,-,1,5,6,0,3,0,1,2,-10
Kevin Durant,GSW,@MEM,04/10/2019,L,18,21,7,10,70.0,0,2,0.0,7,7,100,0,0,0,6,1,0,0,1,-9
Terrence Ross,ORL,@CHA,04/10/2019,W,30,35,12,19,63.2,6,10,60.0,5,5,100,2,4,6,2,1,0,1,1,15
Michael Carter-Williams,ORL,@CHA,04/10/2019,W,22,8,3,5,60.0,0,1,0.0,2,4,50.0,1,3,4,7,1,0,0,3,18
Aaron Gordon,ORL,@CHA,04/10/2019,W,33,27,11,18,61.1,1,3,33.3,4,4,100,2,5,7,3,0,0,2,1,1
Frank Kaminsky,CHA,vs.ORL,04/10/2019,L,19,9,2,6,33.3,0,2,0.0,5,6,83.3,0,1,1,0,0,0,0,2,-20
Malik Monk,CHA,vs.ORL,04/10/2019,L,18,2,1,4,25.0,0,2,0.0,0,0,-,0,2,2,3,0,0,1,2,-9
Michael Kidd-Gilchrist,CHA,vs.ORL,04/10/2019,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4
Nicolas Batum,CHA,vs.ORL,04/10/2019,L,13,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,3,0,0,0,0,4
Amile Jefferson,ORL,@CHA,04/10/2019,W,25,6,3,4,75.0,0,0,-,0,0,-,2,5,7,1,1,0,1,3,6
Kemba Walker,CHA,vs.ORL,04/10/2019,L,40,43,16,25,64.0,4,9,44.4,7,7,100,0,2,2,5,0,2,2,1,0
Khem Birch,ORL,@CHA,04/10/2019,W,23,5,2,4,50.0,0,0,-,1,2,50.0,2,4,6,2,0,0,0,5,2
Jeremy Lamb,CHA,vs.ORL,04/10/2019,L,32,22,6,12,50.0,4,7,57.1,6,6,100,0,8,8,2,0,0,1,2,-7
Evan Fournier,ORL,@CHA,04/10/2019,W,32,14,6,15,40.0,0,5,0.0,2,3,66.7,0,2,2,3,0,0,0,1,-7
Wes Iwundu,ORL,@CHA,04/10/2019,W,24,7,3,6,50.0,1,2,50.0,0,0,-,0,0,0,4,2,2,0,1,-2
Jarell Martin,ORL,@CHA,04/10/2019,W,20,2,1,4,25.0,0,3,0.0,0,0,-,0,3,3,1,0,0,0,2,11
D.J. Augustin,ORL,@CHA,04/10/2019,W,31,18,7,13,53.8,3,6,50.0,1,2,50.0,0,4,4,1,0,0,2,2,-4
Bismack Biyombo,CHA,vs.ORL,04/10/2019,L,26,6,2,3,66.7,0,0,-,2,4,50.0,3,3,6,1,0,0,0,3,8
Dwayne Bacon,CHA,vs.ORL,04/10/2019,L,35,12,6,11,54.5,0,1,0.0,0,0,-,0,2,2,2,1,0,1,2,-5
Miles Bridges,CHA,vs.ORL,04/10/2019,L,41,18,8,13,61.5,0,4,0.0,2,2,100,1,4,5,3,2,2,1,0,2
Devonte' Graham,CHA,vs.ORL,04/10/2019,L,16,2,0,3,0.0,0,3,0.0,2,2,100,0,4,4,2,0,0,2,2,-9
Paul Millsap,DEN,vs.MIN,04/10/2019,W,32,9,3,7,42.9,2,3,66.7,1,2,50.0,1,7,8,3,0,0,2,2,17
Mason Plumlee,DEN,vs.MIN,04/10/2019,W,14,2,1,2,50.0,0,0,-,0,0,-,2,4,6,2,0,1,0,0,-15
Malik Beasley,DEN,vs.MIN,04/10/2019,W,17,7,3,10,30.0,1,7,14.3,0,0,-,0,2,2,0,0,0,0,0,-9
Tyus Jones,MIN,@DEN,04/10/2019,L,34,8,4,12,33.3,0,2,0.0,0,0,-,0,1,1,8,0,0,0,4,-19
C.J. Williams,MIN,@DEN,04/10/2019,L,18,6,2,2,100,2,2,100,0,0,-,0,1,1,1,0,0,0,2,11
Will Barton,DEN,vs.MIN,04/10/2019,W,33,10,4,10,40.0,1,4,25.0,1,2,50.0,1,8,9,4,1,1,1,1,9
Cameron Reynolds,MIN,@DEN,04/10/2019,L,26,19,7,11,63.6,5,7,71.4,0,0,-,0,6,6,1,0,0,0,3,6
Keita Bates-Diop,MIN,@DEN,04/10/2019,L,19,4,2,4,50.0,0,0,-,0,0,-,1,6,7,1,1,0,1,0,6
Monte Morris,DEN,vs.MIN,04/10/2019,W,21,7,3,8,37.5,1,1,100,0,0,-,0,2,2,3,1,0,0,1,-10
Anthony Tolliver,MIN,@DEN,04/10/2019,L,21,3,1,5,20.0,1,5,20.0,0,0,-,0,2,2,3,1,0,1,2,5
Jamal Murray,DEN,vs.MIN,04/10/2019,W,35,17,6,12,50.0,3,7,42.9,2,4,50.0,2,6,8,7,0,1,2,0,16
Andrew Wiggins,MIN,@DEN,04/10/2019,L,36,25,11,20,55.0,3,6,50.0,0,1,0.0,1,4,5,4,0,0,2,1,-8
Josh Okogie,MIN,@DEN,04/10/2019,L,17,0,0,3,0.0,0,0,-,0,0,-,0,1,1,1,1,0,0,1,-3
Jared Terrell,MIN,@DEN,04/10/2019,L,6,1,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,0,1,2
Torrey Craig,DEN,vs.MIN,04/10/2019,W,13,4,1,1,100,1,1,100,1,2,50.0,1,0,1,1,0,0,0,2,-10
Nikola Jokic,DEN,vs.MIN,04/10/2019,W,37,29,13,26,50.0,1,7,14.3,2,2,100,3,11,14,2,3,0,4,4,16
Gary Harris,DEN,vs.MIN,04/10/2019,W,39,14,5,11,45.5,0,3,0.0,4,5,80.0,2,1,3,1,1,1,3,2,6
Gorgui Dieng,MIN,@DEN,04/10/2019,L,34,18,8,20,40.0,2,4,50.0,0,0,-,4,7,11,2,3,0,5,5,-19
Dario Saric,MIN,@DEN,04/10/2019,L,29,11,4,13,30.8,0,5,0.0,3,3,100,1,6,7,3,0,0,1,3,-1
Tyreke Evans,IND,@ATL,04/10/2019,W,26,27,9,14,64.3,5,8,62.5,4,5,80.0,0,2,2,5,0,0,3,4,-3
Kevin Huerter,ATL,vs.IND,04/10/2019,L,30,17,6,8,75.0,5,6,83.3,0,0,-,1,4,5,3,1,1,3,4,6
Justin Anderson,ATL,vs.IND,04/10/2019,L,13,7,2,3,66.7,1,1,100,2,2,100,1,2,3,0,1,0,2,2,-8
Kent Bazemore,ATL,vs.IND,04/10/2019,L,17,7,2,10,20.0,2,6,33.3,1,2,50.0,0,2,2,2,0,0,1,2,-16
Trae Young,ATL,vs.IND,04/10/2019,L,34,23,6,18,33.3,1,7,14.3,10,11,90.9,2,3,5,11,2,0,6,0,18
Deyonta Davis,ATL,vs.IND,04/10/2019,L,3,2,0,0,-,0,0,-,2,2,100,1,0,1,0,0,0,0,0,-4
Alize Johnson,IND,@ATL,04/10/2019,W,25,7,2,5,40.0,0,0,-,3,4,75.0,3,8,11,1,1,2,0,2,14
Edmond Sumner,IND,@ATL,04/10/2019,W,30,22,5,14,35.7,3,7,42.9,9,11,81.8,2,2,4,1,2,0,2,5,-4
Taurean Prince,ATL,vs.IND,04/10/2019,L,34,23,8,17,47.1,5,8,62.5,2,3,66.7,0,5,5,2,0,1,1,2,9
Cory Joseph,IND,@ATL,04/10/2019,W,21,6,2,7,28.6,0,1,0.0,2,2,100,1,2,3,2,2,1,0,1,4
Vince Carter,ATL,vs.IND,04/10/2019,L,12,1,0,4,0.0,0,3,0.0,1,2,50.0,0,0,0,0,0,1,0,2,-13
Jaylen Adams,ATL,vs.IND,04/10/2019,L,9,1,0,2,0.0,0,1,0.0,1,1,100,0,2,2,1,0,0,1,2,-6
Davon Reed,IND,@ATL,04/10/2019,W,23,7,3,8,37.5,1,3,33.3,0,0,-,1,3,4,1,1,0,0,2,-2
John Collins,ATL,vs.IND,04/10/2019,L,36,20,8,15,53.3,1,2,50.0,3,4,75.0,9,16,25,6,0,1,3,2,9
