Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Troy Williams,HOU,@LAC,04/10/2017,L,24,15,5,10,50.0,1,4,25.0,4,4,100,2,3,5,1,0,1,3,3,-24
DeAndre Jordan,LAC,vs.HOU,04/10/2017,W,24,14,6,9,66.7,0,0,-,2,6,33.3,4,7,11,2,0,0,2,3,21
Luc Mbah a Moute,LAC,vs.HOU,04/10/2017,W,24,15,6,8,75.0,1,1,100,2,2,100,1,1,2,3,2,0,0,2,23
Wesley Johnson,LAC,vs.HOU,04/10/2017,W,16,2,1,3,33.3,0,2,0.0,0,0,-,1,1,2,1,0,0,0,1,-4
JJ Redick,LAC,vs.HOU,04/10/2017,W,28,9,4,12,33.3,1,6,16.7,0,0,-,0,4,4,1,2,0,1,0,28
Jamal Crawford,LAC,vs.HOU,04/10/2017,W,30,19,6,14,42.9,3,7,42.9,4,4,100,0,1,1,2,0,0,0,0,9
Paul Pierce,LAC,vs.HOU,04/10/2017,W,7,10,4,5,80.0,2,3,66.7,0,1,0.0,0,1,1,0,0,0,1,1,6
Chinanu Onuaku,HOU,@LAC,04/10/2017,L,21,2,1,2,50.0,0,0,-,0,0,-,1,5,6,0,1,0,2,4,-22
Brice Johnson,LAC,vs.HOU,04/10/2017,W,3,2,1,3,33.3,0,0,-,0,0,-,0,0,0,0,1,0,0,0,-4
Trevor Ariza,HOU,@LAC,04/10/2017,L,36,6,3,11,27.3,0,7,0.0,0,0,-,0,2,2,2,2,0,2,3,-31
Marreese Speights,LAC,vs.HOU,04/10/2017,W,17,3,1,5,20.0,1,3,33.3,0,0,-,1,5,6,3,0,0,1,4,5
Bobby Brown,HOU,@LAC,04/10/2017,L,32,15,6,15,40.0,3,8,37.5,0,0,-,0,0,0,9,1,0,1,0,-12
Ryan Anderson,HOU,@LAC,04/10/2017,L,20,12,4,9,44.4,2,7,28.6,2,2,100,0,2,2,2,0,0,1,2,-1
Chris Paul,LAC,vs.HOU,04/10/2017,W,29,19,5,12,41.7,2,3,66.7,7,7,100,0,5,5,9,4,0,0,1,32
Raymond Felton,LAC,vs.HOU,04/10/2017,W,23,4,2,4,50.0,0,1,0.0,0,0,-,0,4,4,5,0,0,1,1,4
Tyler Zeller,BOS,vs.BKN,04/10/2017,W,7,4,1,2,50.0,0,0,-,2,2,100,0,0,0,0,0,0,0,0,-8
Jae Crowder,BOS,vs.BKN,04/10/2017,W,33,11,4,6,66.7,3,4,75.0,0,0,-,1,7,8,6,1,2,2,0,9
Al Horford,BOS,vs.BKN,04/10/2017,W,33,19,8,17,47.1,1,3,33.3,2,4,50.0,1,7,8,4,1,1,1,3,7
Terry Rozier,BOS,vs.BKN,04/10/2017,W,11,2,1,4,25.0,0,2,0.0,0,0,-,1,4,5,2,1,0,0,2,-4
Justin Hamilton,BKN,@BOS,04/10/2017,L,17,11,5,8,62.5,1,3,33.3,0,0,-,1,3,4,0,1,1,0,2,-3
Marcus Smart,BOS,vs.BKN,04/10/2017,W,31,13,3,9,33.3,2,6,33.3,5,5,100,0,2,2,6,1,1,1,2,3
Jaylen Brown,BOS,vs.BKN,04/10/2017,W,18,3,1,5,20.0,1,3,33.3,0,0,-,0,1,1,1,1,0,2,0,-1
Kelly Olynyk,BOS,vs.BKN,04/10/2017,W,15,11,4,9,44.4,1,3,33.3,2,2,100,1,5,6,3,0,0,2,3,2
Rondae Hollis-Jefferson,BKN,@BOS,04/10/2017,L,37,17,4,15,26.7,1,2,50.0,8,8,100,1,10,11,3,4,2,3,2,-3
Jeremy Lin,BKN,@BOS,04/10/2017,L,34,26,4,9,44.4,2,5,40.0,16,17,94.1,3,9,12,4,0,0,1,4,-10
Avery Bradley,BOS,vs.BKN,04/10/2017,W,33,18,7,10,70.0,3,5,60.0,1,1,100,2,3,5,2,0,0,0,4,7
Andrew Nicholson,BKN,@BOS,04/10/2017,L,8,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,1,3,-5
Isaiah Thomas,BOS,vs.BKN,04/10/2017,W,30,27,10,21,47.6,2,10,20.0,5,5,100,1,3,4,3,1,0,4,4,16
Isaiah Whitehead,BKN,@BOS,04/10/2017,L,26,6,3,8,37.5,0,2,0.0,0,2,0.0,0,1,1,4,1,0,1,1,-7
Spencer Dinwiddie,BKN,@BOS,04/10/2017,L,17,2,0,2,0.0,0,1,0.0,2,2,100,0,3,3,2,0,0,0,2,-5
