Season,Team,GP,W,L,MIN,DEF_RTG,DREB,DREB%,STL,BLK,OPP_PTS_off_TOV,OPP_PTS_2nd_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2018-19,San Antonio Spurs,82,48,34,48.3,110.5,35.5,74.4,6.1,4.7,15.0,12.6,14.1,46.6
2018-19,Brooklyn Nets,82,42,40,48.7,109.0,35.6,72.0,6.6,4.1,17.3,14.4,11.8,51.2
2018-19,Orlando Magic,82,42,40,48.2,107.6,35.4,75.4,6.6,5.4,14.7,10.9,12.7,47.2
2018-19,Detroit Pistons,82,41,41,48.4,108.7,33.6,74.5,6.9,4.0,16.0,11.3,11.9,49.9
2018-19,Charlotte Hornets,82,39,43,48.4,112.0,33.9,73.1,7.2,4.9,13.7,13.4,13.3,49.0
2018-19,Miami Heat,82,39,43,48.1,107.1,35.1,73.1,7.6,5.5,17.1,13.7,12.5,42.3
2018-19,Sacramento Kings,82,39,43,48.1,110.8,34.4,71.3,8.3,4.4,16.4,14.4,14.2,51.2
2018-19,Los Angeles Lakers,82,37,45,48.2,108.9,36.4,72.5,7.5,5.4,18.5,14.0,15.9,50.3
2018-19,Minnesota Timberwolves,82,36,46,48.4,112.2,33.5,70.9,8.3,5.0,15.1,14.8,13.6,48.9
2018-19,Dallas Mavericks,82,33,49,48.2,110.1,35.2,73.4,6.5,4.3,15.6,13.0,16.7,47.7
2018-19,Memphis Grizzlies,82,33,49,48.5,108.0,33.0,72.4,8.3,5.5,16.6,11.6,16.3,42.7
2018-19,New Orleans Pelicans,82,33,49,48.2,112.0,36.2,72.9,7.4,5.4,18.0,13.7,15.7,51.6
2018-19,Washington Wizards,82,32,50,48.6,112.9,32.7,70.6,8.3,4.6,17.0,14.1,14.0,52.1
2018-19,Atlanta Hawks,82,29,53,48.4,113.1,34.5,71.8,8.2,5.1,21.1,14.6,16.5,49.3
2018-19,Chicago Bulls,82,22,60,48.5,112.8,34.1,72.7,7.4,4.3,16.6,13.4,13.0,49.1
2018-19,Cleveland Cavaliers,82,19,63,48.2,116.8,31.9,73.2,6.5,2.4,16.8,12.7,14.0,50.0
2018-19,Phoenix Suns,82,19,63,48.5,114.2,31.3,68.3,9.0,5.1,19.5,15.5,15.8,53.0
2018-19,New York Knicks,82,17,65,48.2,112.9,34.3,71.7,6.8,5.1,16.4,14.1,11.7,50.6
2019-20,Milwaukee Bucks,73,56,17,48.2,102.5,42.2,77.5,7.2,5.9,16.9,11.3,13.6,38.7
2019-20,Toronto Raptors,72,53,19,48.3,104.7,35.9,72.1,8.8,5.0,16.9,13.5,12.7,41.5
2019-20,Los Angeles Lakers,71,52,19,48.1,106.1,35.1,73.7,8.6,6.6,17.4,12.0,16.5,45.8
2019-20,LA Clippers,72,49,23,48.3,106.9,37.0,73.7,7.1,4.7,16.5,12.4,13.3,44.6
2019-20,Boston Celtics,72,48,24,48.4,106.5,35.4,73.1,8.3,5.6,15.1,13.2,13.2,43.4
2019-20,Denver Nuggets,73,46,27,48.6,110.4,33.4,72.5,8.0,4.6,16.2,12.2,12.4,48.2
2019-20,Indiana Pacers,73,45,28,48.3,107.5,34.1,71.8,7.4,5.2,15.0,13.2,13.6,47.6
2019-20,Houston Rockets,72,44,28,48.3,109.8,34.5,71.3,8.7,5.2,17.8,14.1,15.1,51.5
2019-20,Miami Heat,73,44,29,48.6,109.3,35.9,75.3,7.5,4.5,17.9,12.8,11.4,44.1
2019-20,Oklahoma City Thunder,72,44,28,48.4,108.1,34.7,72.8,7.6,4.9,16.0,12.6,10.9,48.4
2019-20,Utah Jazz,72,44,28,48.2,109.3,35.8,74.6,6.1,4.1,17.1,12.1,12.5,47.4
2019-20,Dallas Mavericks,75,43,32,48.5,111.2,36.4,74.0,6.1,4.8,14.3,13.4,16.4,48.8
2019-20,Philadelphia 76ers,73,43,30,48.2,108.4,35.0,75.3,8.0,5.3,16.4,11.6,13.7,48.1
2019-20,Brooklyn Nets,72,35,37,48.6,109.2,37.3,73.6,6.4,4.5,17.0,13.2,13.1,46.4
2019-20,Portland Trail Blazers,74,35,39,48.2,114.3,35.1,71.2,6.3,6.1,14.5,15.5,14.8,47.0
2019-20,Memphis Grizzlies,73,34,39,48.1,109.7,36.2,73.3,7.9,5.5,17.9,13.6,13.9,45.3
2019-20,Phoenix Suns,73,34,39,48.2,110.8,33.8,73.4,7.7,4.0,16.6,12.5,12.7,49.8
2019-20,Orlando Magic,73,33,40,48.1,109.2,34.2,74.9,8.2,5.4,14.3,11.2,11.9,46.3
2019-20,San Antonio Spurs,71,32,39,48.5,112.6,35.6,75.1,7.3,5.5,15.1,13.6,13.0,48.2
2019-20,Sacramento Kings,72,31,41,48.5,111.4,32.9,73.6,7.7,4.1,16.5,11.9,12.1,46.6
2019-20,New Orleans Pelicans,72,30,42,48.4,111.8,35.4,72.9,7.5,5.0,19.6,13.6,15.4,52.2
2019-20,Washington Wizards,72,25,47,48.2,114.7,31.9,71.2,8.0,4.3,16.7,14.4,12.7,51.4
2019-20,Charlotte Hornets,65,23,42,48.5,112.8,31.8,70.6,6.6,4.1,16.8,13.2,11.8,50.5
2019-20,Chicago Bulls,65,22,43,48.2,108.9,31.4,71.9,10.0,4.1,17.8,12.7,12.5,49.6
2019-20,New York Knicks,66,21,45,48.4,112.4,34.5,74.2,7.6,4.7,17.5,12.6,12.8,43.8
