Date,Player,Team,Match-up,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
2021-01-08,Draymond Green,GSW,vs.LAC,W,31,4,2,4,50.0,0,1,0.0,0,0,-,1,2,3,3,2,0,2,3,-7,2020-21
2021-01-08,Brad Wanamaker,GSW,vs.LAC,W,16,8,2,3,66.7,2,2,100,2,2,100,0,6,6,4,0,0,0,0,6,2020-21
2021-01-08,Nicolas Batum,LAC,@GSW,L,30,10,4,10,40.0,2,8,25.0,0,0,-,0,6,6,6,2,0,0,1,10,2020-21
2021-01-08,Paul George,LAC,@GSW,L,39,25,9,13,69.2,5,7,71.4,2,2,100,1,3,4,7,0,1,4,2,18,2020-21
2021-01-08,Marcus Morris Sr.,LAC,@GSW,L,18,2,1,7,14.3,0,2,0.0,0,0,-,0,2,2,1,0,0,1,0,-11,2020-21
2021-01-08,Kawhi Leonard,LAC,@GSW,L,34,24,7,17,41.2,3,5,60.0,7,8,87.5,0,3,3,4,2,0,2,2,-1,2020-21
2021-01-08,Reggie Jackson,LAC,@GSW,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-2,2020-21
2021-01-08,Ivica Zubac,LAC,@GSW,L,17,2,1,4,25.0,0,0,-,0,0,-,1,3,4,1,0,1,3,2,-17,2020-21
2021-01-08,Luke Kennard,LAC,@GSW,L,18,8,3,5,60.0,2,3,66.7,0,0,-,1,3,4,1,0,1,2,1,-13,2020-21
2021-01-08,Amir Coffey,LAC,@GSW,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,2020-21
2021-01-08,Terance Mann,LAC,@GSW,L,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,2020-21
2021-01-08,Mfiondu Kabengele,LAC,@GSW,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,2020-21
2021-01-08,Daniel Oturu,LAC,@GSW,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,2020-21
2021-01-08,Patrick Beverley,LAC,@GSW,L,28,7,2,8,25.0,1,3,33.3,2,3,66.7,3,3,6,1,2,0,2,4,14,2020-21
2021-01-08,Stephen Curry,GSW,vs.LAC,W,36,38,13,24,54.2,9,14,64.3,3,3,100,0,2,2,11,3,0,2,3,7,2020-21
2021-01-08,Thaddeus Young,CHI,@LAL,L,30,15,7,12,58.3,0,1,0.0,1,1,100,3,4,7,5,1,0,2,4,1,2020-21
2021-01-08,Garrett Temple,CHI,@LAL,L,27,9,3,5,60.0,2,3,66.7,1,1,100,0,3,3,1,1,1,1,2,-2,2020-21
2021-01-08,Otto Porter Jr.,CHI,@LAL,L,6,2,1,2,50.0,0,0,-,0,0,-,1,0,1,2,0,0,0,0,-2,2020-21
2021-01-08,Zach LaVine,CHI,@LAL,L,38,38,14,22,63.6,4,7,57.1,6,6,100,0,5,5,6,2,0,0,1,8,2020-21
2021-01-08,Denzel Valentine,CHI,@LAL,L,25,5,2,8,25.0,1,5,20.0,0,0,-,0,4,4,1,0,0,0,1,10,2020-21
2021-01-08,Wendell Carter Jr.,CHI,@LAL,L,25,23,9,15,60.0,0,1,0.0,5,6,83.3,3,4,7,3,0,0,1,4,0,2020-21
2021-01-08,Coby White,CHI,@LAL,L,32,14,6,14,42.9,2,5,40.0,0,0,-,0,3,3,5,0,0,3,3,-13,2020-21
2021-01-08,Daniel Gafford,CHI,@LAL,L,16,0,0,0,-,0,0,-,0,0,-,0,2,2,2,2,2,2,3,5,2020-21
2021-01-08,Adam Mokoka,CHI,@LAL,L,7,3,1,3,33.3,1,2,50.0,0,0,-,0,1,1,1,0,0,1,0,2,2020-21
2021-01-08,Patrick Williams,CHI,@LAL,L,34,6,3,10,30.0,0,2,0.0,0,0,-,2,6,8,0,4,0,2,5,0,2020-21
2021-01-08,Talen Horton-Tucker,LAL,vs.CHI,W,20,9,3,5,60.0,1,1,100,2,2,100,0,2,2,3,0,1,1,1,0,2020-21
2021-01-08,Kyle Kuzma,LAL,vs.CHI,W,17,6,2,5,40.0,2,3,66.7,0,0,-,1,0,1,1,0,0,1,1,-9,2020-21
2021-01-08,Alex Caruso,LAL,vs.CHI,W,17,9,3,7,42.9,3,6,50.0,0,0,-,0,2,2,3,1,0,2,0,-4,2020-21
2021-01-08,Montrezl Harrell,LAL,vs.CHI,W,29,17,7,13,53.8,0,0,-,3,3,100,7,7,14,0,0,1,2,2,-8,2020-21
2021-01-08,Dennis Schroder,LAL,vs.CHI,W,34,17,5,11,45.5,1,1,100,6,8,75.0,0,3,3,6,2,0,4,5,-5,2020-21
2021-01-08,Markieff Morris,LAL,vs.CHI,W,29,11,5,8,62.5,1,3,33.3,0,0,-,0,6,6,0,0,1,1,2,10,2020-21
2021-01-08,Wesley Matthews,LAL,vs.CHI,W,34,14,4,8,50.0,4,8,50.0,2,2,100,1,1,2,1,0,1,0,3,-6,2020-21
2021-01-08,Marc Gasol,LAL,vs.CHI,W,19,6,1,3,33.3,0,2,0.0,4,4,100,1,3,4,0,0,4,0,0,12,2020-21
2021-01-08,Jared Dudley,LAL,vs.CHI,W,7,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,4,2020-21
2021-01-08,LeBron James,LAL,vs.CHI,W,34,28,11,21,52.4,0,5,0.0,6,8,75.0,0,7,7,7,0,0,4,1,9,2020-21
2021-01-08,Paul Watson,TOR,@SAC,W,2,2,1,1,100,0,0,-,0,0,-,1,0,1,0,0,0,0,0,-1,2020-21
2021-01-08,Yuta Watanabe,TOR,@SAC,W,19,3,1,5,20.0,1,2,50.0,0,0,-,2,5,7,0,0,1,0,1,16,2020-21
2021-01-08,Matt Thomas,TOR,@SAC,W,2,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,-1,2020-21
2021-01-08,Jalen Harris,TOR,@SAC,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-1,2020-21
2021-01-08,Cory Joseph,SAC,vs.TOR,L,23,6,2,4,50.0,2,3,66.7,0,0,-,0,2,2,3,0,1,0,2,-21,2020-21
2021-01-08,Harrison Barnes,SAC,vs.TOR,L,31,21,6,8,75.0,2,2,100,7,10,70.0,0,4,4,8,1,0,3,3,-15,2020-21
2021-01-08,Richaun Holmes,SAC,vs.TOR,L,24,10,5,7,71.4,0,0,-,0,0,-,0,0,0,2,1,3,0,4,-4,2020-21
2021-01-08,Stanley Johnson,TOR,@SAC,W,15,0,0,2,0.0,0,1,0.0,0,0,-,1,3,4,1,0,0,0,1,11,2020-21
2021-01-08,Buddy Hield,SAC,vs.TOR,L,32,15,6,14,42.9,3,9,33.3,0,0,-,0,5,5,6,1,0,1,3,-18,2020-21
2021-01-08,De'Aaron Fox,SAC,vs.TOR,L,25,23,9,11,81.8,0,1,0.0,5,7,71.4,0,1,1,3,2,1,4,1,-8,2020-21
2021-01-08,OG Anunoby,TOR,@SAC,W,29,8,2,8,25.0,0,4,0.0,4,6,66.7,0,2,2,2,2,0,3,5,17,2020-21
2021-01-08,DeAndre' Bembry,TOR,@SAC,W,4,2,1,2,50.0,0,0,-,0,0,-,0,0,0,1,1,0,1,0,-3,2020-21
2021-01-08,Malachi Flynn,TOR,@SAC,W,17,12,5,6,83.3,2,3,66.7,0,0,-,0,5,5,2,0,0,1,3,6,2020-21
