Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,D/D,T/D,DraftKings
Kevin Hervey,OKC,@LAC,2020-08-14,L,11,5,2,6,33.3,1,5,20.0,0,0,-,1,3,4,1,0,0,0,2,-10,0,0,12.0
Deonte Burton,OKC,@LAC,2020-08-14,L,30,6,3,11,27.3,0,4,0.0,0,0,-,1,5,6,5,0,0,4,2,0,0,0,19.0
Amir Coffey,LAC,vs.OKC,2020-08-14,W,50,21,7,17,41.2,2,8,25.0,5,8,62.5,0,2,2,4,4,1,2,6,11,0,0,39.5
Terance Mann,LAC,vs.OKC,2020-08-14,W,42,25,8,12,66.7,1,3,33.3,8,13,61.5,4,10,14,9,2,0,3,5,-7,1,0,60.5
Darius Bazley,OKC,@LAC,2020-08-14,L,31,9,3,12,25.0,2,5,40.0,1,3,33.3,1,7,8,1,0,2,1,0,7,0,0,25.0
Joakim Noah,LAC,vs.OKC,2020-08-14,W,29,9,4,7,57.1,0,0,-,1,2,50.0,1,5,6,5,1,0,4,1,8,0,0,24.0
Patrick Patterson,LAC,vs.OKC,2020-08-14,W,39,17,4,16,25.0,4,11,36.4,5,6,83.3,3,11,14,0,0,0,2,3,-6,1,0,37.0
Rodney McGruder,LAC,vs.OKC,2020-08-14,W,51,9,2,11,18.2,1,5,20.0,4,6,66.7,3,8,11,2,2,0,2,0,0,0,0,29.25
Kelly Olynyk,MIA,@IND,2020-08-14,L,20,6,2,9,22.2,2,8,25.0,0,0,-,0,6,6,0,0,1,0,0,-9,0,0,16.5
Derrick Jones Jr.,MIA,@IND,2020-08-14,L,16,3,1,2,50.0,0,0,-,1,2,50.0,2,0,2,2,2,0,0,2,-2,0,0,12.5
Duncan Robinson,MIA,@IND,2020-08-14,L,13,0,0,3,0.0,0,3,0.0,0,0,-,0,2,2,1,0,0,2,1,-5,0,0,3.0
