Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,D/D,T/D,DraftKings
Zach Norvell Jr.,GSW,vs.MIA,2020-02-10,L,11,3,1,6,16.7,1,4,25.0,0,0,-,0,1,1,1,0,0,1,1,-19,0,0,5.75
Jordan Poole,GSW,vs.MIA,2020-02-10,L,31,12,3,11,27.3,0,4,0.0,6,6,100,0,6,6,2,0,0,0,2,9,0,0,22.5
Juan Toscano-Anderson,GSW,vs.MIA,2020-02-10,L,14,3,1,1,100,1,1,100,0,0,-,0,3,3,1,2,0,2,2,-18,0,0,11.75
Andrew Wiggins,GSW,vs.MIA,2020-02-10,L,34,18,6,14,42.9,2,7,28.6,4,6,66.7,0,2,2,4,0,0,2,4,6,0,0,26.5
Alen Smailagic,GSW,vs.MIA,2020-02-10,L,5,2,0,1,0.0,0,0,-,2,2,100,1,0,1,0,0,0,1,0,-3,0,0,2.75
Duncan Robinson,MIA,@GSW,2020-02-10,W,37,17,6,14,42.9,5,13,38.5,0,0,-,0,1,1,3,0,0,0,3,22,0,0,25.25
Kelly Olynyk,MIA,@GSW,2020-02-10,W,21,12,5,9,55.6,2,4,50.0,0,0,-,0,6,6,11,1,1,2,3,28,1,0,41.5
Jae Crowder,MIA,@GSW,2020-02-10,W,31,21,6,11,54.5,4,8,50.0,5,5,100,1,7,8,0,3,0,0,2,17,0,0,39.0
Goran Dragic,MIA,@GSW,2020-02-10,W,30,15,6,13,46.2,1,4,25.0,2,4,50.0,1,1,2,6,0,0,3,2,13,0,0,25.5
Andre Iguodala,MIA,@GSW,2020-02-10,W,17,2,1,1,100,0,0,-,0,0,-,2,3,5,2,0,0,1,2,25,0,0,10.75
Chris Silva,MIA,@GSW,2020-02-10,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0.0
Kendrick Nunn,MIA,@GSW,2020-02-10,W,23,4,2,13,15.4,0,4,0.0,0,0,-,0,1,1,2,0,0,1,1,-12,0,0,7.75
Bam Adebayo,MIA,@GSW,2020-02-10,W,27,13,5,8,62.5,0,0,-,3,6,50.0,3,8,11,7,2,0,1,2,-16,1,0,42.25
Derrick Jones Jr.,MIA,@GSW,2020-02-10,W,20,8,3,3,100,0,0,-,2,2,100,0,1,1,0,0,1,1,3,-7,0,0,10.75
Jeremy Pargo,GSW,vs.MIA,2020-02-10,L,9,4,2,5,40.0,0,1,0.0,0,0,-,0,0,0,2,0,0,1,1,-2,0,0,6.5
Jimmy Butler,MIA,@GSW,2020-02-10,W,33,21,9,15,60.0,0,0,-,3,4,75.0,0,10,10,5,4,1,2,1,-7,1,0,51.5
Gabe Vincent,MIA,@GSW,2020-02-10,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0,0,0.0
Kevon Looney,GSW,vs.MIA,2020-02-10,L,16,0,0,2,0.0,0,1,0.0,0,0,-,0,3,3,1,1,0,0,1,-10,0,0,7.25
Ky Bowman,GSW,vs.MIA,2020-02-10,L,15,2,1,4,25.0,0,2,0.0,0,0,-,0,3,3,2,0,0,1,1,-14,0,0,8.25
Grant Williams,BOS,@OKC,2020-02-09,W,14,3,1,1,100,1,1,100,0,0,-,1,1,2,0,0,0,0,2,-6,0,0,6.0
Dennis Schroder,OKC,vs.BOS,2020-02-09,L,36,22,8,21,38.1,3,7,42.9,3,3,100,1,6,7,1,1,1,1,3,7,0,0,37.25
Enes Kanter,BOS,@OKC,2020-02-09,W,17,4,1,3,33.3,0,1,0.0,2,2,100,1,7,8,0,1,0,0,1,-1,0,0,16.0
Chris Paul,OKC,vs.BOS,2020-02-09,L,33,22,8,15,53.3,1,5,20.0,5,6,83.3,0,5,5,5,2,0,3,1,-3,0,0,38.75
Danilo Gallinari,OKC,vs.BOS,2020-02-09,L,31,24,8,14,57.1,3,6,50.0,5,6,83.3,2,3,5,1,0,0,2,2,6,0,0,32.25
Gordon Hayward,BOS,@OKC,2020-02-09,W,35,13,5,10,50.0,2,4,50.0,1,2,50.0,3,7,10,4,0,1,1,1,5,1,0,35.5
Kemba Walker,BOS,@OKC,2020-02-09,W,30,27,6,16,37.5,4,9,44.4,11,13,84.6,1,3,4,1,0,0,1,2,0,0,0,35.0
Nerlens Noel,OKC,vs.BOS,2020-02-09,L,18,5,2,4,50.0,0,0,-,1,3,33.3,3,2,5,0,0,1,0,3,-9,0,0,13.25
Steven Adams,OKC,vs.BOS,2020-02-09,L,30,4,2,10,20.0,0,1,0.0,0,0,-,5,6,11,2,0,1,2,3,8,0,0,21.75
Jaylen Brown,BOS,@OKC,2020-02-09,W,34,17,7,17,41.2,3,7,42.9,0,0,-,0,3,3,2,0,0,1,2,6,0,0,24.75
Jayson Tatum,BOS,@OKC,2020-02-09,W,35,26,10,19,52.6,4,7,57.1,2,4,50.0,3,8,11,1,0,1,4,3,0,1,0,44.75
Daniel Theis,BOS,@OKC,2020-02-09,W,30,13,5,11,45.5,1,4,25.0,2,4,50.0,5,6,11,5,0,0,0,4,3,1,0,36.25
Shai Gilgeous-Alexander,OKC,vs.BOS,2020-02-09,L,33,24,8,12,66.7,3,4,75.0,5,7,71.4,0,6,6,4,0,0,1,1,2,0,0,38.5
Luguentz Dort,OKC,vs.BOS,2020-02-09,L,12,3,1,4,25.0,1,2,50.0,0,0,-,0,1,1,0,0,0,0,4,-2,0,0,4.75
Marcus Smart,BOS,@OKC,2020-02-09,W,22,7,2,5,40.0,1,3,33.3,2,2,100,0,0,0,2,4,0,2,3,4,0,0,17.5
Darius Bazley,OKC,vs.BOS,2020-02-09,L,3,3,1,2,50.0,0,0,-,1,2,50.0,0,0,0,0,0,0,0,0,3,0,0,3.0
Romeo Langford,BOS,@OKC,2020-02-09,W,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,3,-8,0,0,0.0
Abdel Nader,OKC,vs.BOS,2020-02-09,L,5,2,0,1,0.0,0,0,-,2,2,100,0,1,1,0,0,0,0,0,-4,0,0,3.25
Hamidou Diallo,OKC,vs.BOS,2020-02-09,L,13,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,0,0,0,1,0,-11,0,0,2.75
Brad Wanamaker,BOS,@OKC,2020-02-09,W,17,2,1,2,50.0,0,0,-,0,0,-,0,4,4,4,1,0,0,3,2,0,0,15.0
Terrance Ferguson,OKC,vs.BOS,2020-02-09,L,26,0,0,1,0.0,0,1,0.0,0,0,-,1,1,2,1,0,0,0,4,-2,0,0,4.0
Ian Mahinmi,WAS,vs.MEM,2020-02-09,L,18,2,0,5,0.0,0,1,0.0,2,4,50.0,0,5,5,1,0,2,0,0,4,0,0,13.75
Isaac Bonga,WAS,vs.MEM,2020-02-09,L,17,4,0,3,0.0,0,2,0.0,4,4,100,1,1,2,1,1,0,0,3,2,0,0,10.0
Jonas Valanciunas,MEM,@WAS,2020-02-09,W,30,8,4,8,50.0,0,1,0.0,0,2,0.0,4,14,18,0,0,2,0,1,7,0,0,34.5
Jerome Robinson,WAS,vs.MEM,2020-02-09,L,16,5,2,7,28.6,1,4,25.0,0,0,-,0,2,2,2,0,0,0,3,-12,0,0,11.0
De'Anthony Melton,MEM,@WAS,2020-02-09,W,21,7,3,12,25.0,0,6,0.0,1,1,100,1,0,1,1,1,0,1,3,7,0,0,11.25
Yuta Watanabe,MEM,@WAS,2020-02-09,W,10,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,2,7,0,0,1.25
Rui Hachimura,WAS,vs.MEM,2020-02-09,L,25,12,5,13,38.5,1,2,50.0,1,2,50.0,3,8,11,1,0,0,0,3,-5,1,0,29.25
Tyus Jones,MEM,@WAS,2020-02-09,W,19,13,5,8,62.5,1,2,50.0,2,2,100,0,2,2,3,0,0,0,0,-8,0,0,20.5
Josh Jackson,MEM,@WAS,2020-02-09,W,14,3,1,4,25.0,0,1,0.0,1,3,33.3,1,4,5,1,0,0,2,1,-2,0,0,9.75
Shabazz Napier,WAS,vs.MEM,2020-02-09,L,21,6,0,7,0.0,0,5,0.0,6,6,100,0,2,2,6,0,0,1,2,-8,0,0,17.0
Kyle Anderson,MEM,@WAS,2020-02-09,W,30,16,7,9,77.8,0,0,-,2,2,100,1,4,5,2,1,0,0,3,12,0,0,27.25
Dillon Brooks,MEM,@WAS,2020-02-09,W,30,9,4,17,23.5,0,8,0.0,1,2,50.0,1,2,3,1,1,0,3,5,4,0,0,14.75
Davis Bertans,WAS,vs.MEM,2020-02-09,L,32,15,6,13,46.2,3,8,37.5,0,0,-,0,6,6,1,1,0,1,2,-9,0,0,27.0
Brandon Clarke,MEM,@WAS,2020-02-09,W,21,9,4,10,40.0,1,1,100,0,2,0.0,2,4,6,0,0,0,2,2,-4,0,0,16.0
Troy Brown Jr.,WAS,vs.MEM,2020-02-09,L,24,6,3,8,37.5,0,1,0.0,0,0,-,2,3,5,3,2,0,2,2,2,0,0,19.75
Moritz Wagner,WAS,vs.MEM,2020-02-09,L,24,19,7,11,63.6,1,3,33.3,4,6,66.7,1,8,9,2,0,0,1,3,-11,0,0,33.25
Ish Smith,WAS,vs.MEM,2020-02-09,L,29,4,2,8,25.0,0,1,0.0,0,0,-,1,3,4,5,1,1,1,2,-3,0,0,20.0
Jaren Jackson Jr.,MEM,@WAS,2020-02-09,W,30,14,6,16,37.5,1,6,16.7,1,2,50.0,2,9,11,1,0,1,2,5,-4,1,0,32.25
Bradley Beal,WAS,vs.MEM,2020-02-09,L,34,26,10,25,40.0,1,6,16.7,5,7,71.4,1,3,4,3,2,1,1,2,5,0,0,41.5
Ja Morant,MEM,@WAS,2020-02-09,W,35,27,9,17,52.9,2,7,28.6,7,9,77.8,1,9,10,10,1,1,3,1,16,1,1,62.5
Trae Young,ATL,vs.NYK,2020-02-09,W,48,48,13,30,43.3,6,13,46.2,16,16,100,0,1,1,13,2,0,7,1,10,1,0,73.75
De'Andre Hunter,ATL,vs.NYK,2020-02-09,W,48,19,7,15,46.7,3,7,42.9,2,3,66.7,1,8,9,1,5,0,0,4,1,0,0,43.25
Kevin Huerter,ATL,vs.NYK,2020-02-09,W,48,16,6,13,46.2,2,6,33.3,2,2,100,1,2,3,6,0,1,2,4,6,0,0,30.75
Bobby Portis,NYK,@ATL,2020-02-09,L,19,14,5,11,45.5,2,4,50.0,2,2,100,2,4,6,2,0,0,1,1,-5,0,0,25.0
Mitchell Robinson,NYK,@ATL,2020-02-09,L,35,15,7,8,87.5,0,0,-,1,3,33.3,7,4,11,0,3,3,0,3,5,1,0,42.25
RJ Barrett,NYK,@ATL,2020-02-09,L,22,5,2,6,33.3,0,0,-,1,2,50.0,1,3,4,3,1,0,0,4,-3,0,0,16.5
Bruno Fernando,ATL,vs.NYK,2020-02-09,W,9,2,1,3,33.3,0,1,0.0,0,0,-,2,2,4,0,0,0,1,4,5,0,0,6.5
Julius Randle,NYK,@ATL,2020-02-09,L,46,35,13,25,52.0,0,2,0.0,9,12,75.0,2,16,18,3,1,1,6,3,7,1,0,64.5
Elfrid Payton,NYK,@ATL,2020-02-09,L,37,12,5,14,35.7,0,2,0.0,2,2,100,1,3,4,9,2,1,4,6,-4,0,0,34.5
Dewayne Dedmon,ATL,vs.NYK,2020-02-09,W,33,10,4,12,33.3,1,5,20.0,1,1,100,0,8,8,0,0,5,4,6,-4,0,0,28.5
Reggie Bullock,NYK,@ATL,2020-02-09,L,37,21,8,18,44.4,5,10,50.0,0,0,-,0,4,4,1,1,0,1,3,-2,0,0,31.5
Jeff Teague,ATL,vs.NYK,2020-02-09,W,27,8,4,8,50.0,0,0,-,0,0,-,0,3,3,6,1,0,0,1,1,0,0,22.75
Wayne Ellington,NYK,@ATL,2020-02-09,L,32,15,5,10,50.0,5,9,55.6,0,0,-,0,1,1,1,2,0,1,2,0,0,0,23.75
Kevin Knox II,NYK,@ATL,2020-02-09,L,13,3,1,5,20.0,1,3,33.3,0,0,-,1,0,1,0,0,1,2,3,-9,0,0,5.75
Frank Ntilikina,NYK,@ATL,2020-02-09,L,26,9,3,8,37.5,0,4,0.0,3,4,75.0,0,2,2,8,2,0,1,4,10,0,0,27.0
John Collins,ATL,vs.NYK,2020-02-09,W,50,32,12,19,63.2,1,3,33.3,7,9,77.8,5,11,16,3,0,1,0,2,9,1,0,60.5
Vince Carter,ATL,vs.NYK,2020-02-09,W,3,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,1,-1,0,0,3.25
Brandon Goodwin,ATL,vs.NYK,2020-02-09,W,4,3,1,3,33.3,1,2,50.0,0,0,-,0,0,0,0,0,0,0,0,-3,0,0,3.5
Dennis Smith Jr.,NYK,@ATL,2020-02-09,L,8,2,1,2,50.0,0,0,-,0,0,-,0,1,1,2,0,0,0,0,-7,0,0,6.25
Taj Gibson,NYK,@ATL,2020-02-09,L,16,4,2,3,66.7,0,0,-,0,0,-,1,3,4,1,0,0,1,0,-17,0,0,10.0
Damian Jones,ATL,vs.NYK,2020-02-09,W,15,0,0,0,-,0,0,-,0,0,-,1,3,4,0,0,1,0,1,2,0,0,7.0
Treveon Graham,ATL,vs.NYK,2020-02-09,W,7,0,0,3,0.0,0,2,0.0,0,0,-,1,0,1,0,1,0,0,0,-1,0,0,3.25
Duncan Robinson,MIA,@POR,2020-02-09,L,38,19,6,15,40.0,6,15,40.0,1,1,100,0,6,6,3,1,0,1,4,-7,0,0,35.5
CJ McCollum,POR,vs.MIA,2020-02-09,W,39,13,5,15,33.3,3,9,33.3,0,1,0.0,0,4,4,3,0,0,3,4,11,0,0,22.5
Andre Iguodala,MIA,@POR,2020-02-09,L,23,2,1,2,50.0,0,1,0.0,0,0,-,3,3,6,3,1,1,2,3,10,0,0,17.0
Caleb Swanigan,POR,vs.MIA,2020-02-09,W,10,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,0,1,4,-5,0,0,3.5
Carmelo Anthony,POR,vs.MIA,2020-02-09,W,33,15,6,14,42.9,3,6,50.0,0,1,0.0,0,6,6,2,0,0,4,3,15,0,0,25.0
Jae Crowder,MIA,@POR,2020-02-09,L,35,18,6,11,54.5,5,8,62.5,1,2,50.0,1,10,11,3,2,1,1,1,9,1,0,45.75
Gary Trent Jr.,POR,vs.MIA,2020-02-09,W,33,22,8,11,72.7,5,7,71.4,1,1,100,1,3,4,0,4,0,0,4,-7,0,0,37.5
Damian Lillard,POR,vs.MIA,2020-02-09,W,38,33,11,23,47.8,6,15,40.0,5,6,83.3,1,3,4,8,1,1,3,2,11,0,0,55.5
Chris Silva,MIA,@POR,2020-02-09,L,13,4,2,6,33.3,0,0,-,0,0,-,2,2,4,2,0,0,1,3,1,0,0,11.5
Wenyen Gabriel,POR,vs.MIA,2020-02-09,W,7,0,0,2,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,1,1,-8,0,0,2.0
Derrick Jones Jr.,MIA,@POR,2020-02-09,L,25,11,4,8,50.0,2,3,66.7,1,1,100,1,2,3,0,0,0,0,0,-16,0,0,15.75
Kelly Olynyk,MIA,@POR,2020-02-09,L,13,6,2,4,50.0,1,3,33.3,1,1,100,0,3,3,2,1,0,2,4,-15,0,0,14.25
Mario Hezonja,POR,vs.MIA,2020-02-09,W,5,0,0,2,0.0,0,0,-,0,0,-,0,0,0,1,0,0,0,1,-7,0,0,1.5
Goran Dragic,MIA,@POR,2020-02-09,L,31,27,8,20,40.0,5,13,38.5,6,7,85.7,1,3,4,7,1,0,2,2,12,0,0,46.0
Trevor Ariza,POR,vs.MIA,2020-02-09,W,40,21,7,10,70.0,2,4,50.0,5,5,100,0,4,4,5,3,1,0,2,7,0,0,42.5
Hassan Whiteside,POR,vs.MIA,2020-02-09,W,35,11,3,8,37.5,0,0,-,5,8,62.5,3,14,17,0,1,4,2,1,13,1,0,42.75
Bam Adebayo,MIA,@POR,2020-02-09,L,35,13,6,14,42.9,0,0,-,1,2,50.0,5,7,12,7,0,3,3,4,-8,1,0,44.5
Kendrick Nunn,MIA,@POR,2020-02-09,L,27,9,4,18,22.2,1,6,16.7,0,0,-,0,0,0,4,0,0,1,1,-16,0,0,15.0
Juwan Morgan,UTA,@HOU,2020-02-09,W,7,4,2,3,66.7,0,0,-,0,0,-,1,2,3,0,0,0,1,1,11,0,0,7.25
P.J. Tucker,HOU,vs.UTA,2020-02-09,L,36,9,3,5,60.0,3,3,100,0,0,-,1,2,3,4,0,0,0,3,10,0,0,20.25
Danuel House Jr.,HOU,vs.UTA,2020-02-09,L,36,10,3,10,30.0,2,5,40.0,2,2,100,2,3,5,0,4,0,0,0,-6,0,0,25.25
Georges Niang,UTA,@HOU,2020-02-09,W,9,8,3,5,60.0,2,4,50.0,0,0,-,0,1,1,0,0,0,1,1,0,0,0,9.75
Thabo Sefolosha,HOU,vs.UTA,2020-02-09,L,10,2,1,3,33.3,0,2,0.0,0,0,-,0,3,3,0,1,1,0,2,-7,0,0,9.75
Ben McLemore,HOU,vs.UTA,2020-02-09,L,27,9,3,5,60.0,3,5,60.0,0,0,-,0,3,3,1,1,0,0,2,-8,0,0,17.75
Robert Covington,HOU,vs.UTA,2020-02-09,L,35,14,5,12,41.7,4,10,40.0,0,0,-,2,3,5,0,2,1,1,4,4,0,0,27.75
Royce O'Neale,UTA,@HOU,2020-02-09,W,19,3,1,4,25.0,1,4,25.0,0,0,-,0,3,3,0,0,3,2,1,2,0,0,12.25
Bojan Bogdanovic,UTA,@HOU,2020-02-09,W,32,8,2,7,28.6,2,5,40.0,2,2,100,1,1,2,4,0,0,1,1,-8,0,0,17.0
Donovan Mitchell,UTA,@HOU,2020-02-09,W,37,24,9,23,39.1,4,11,36.4,2,2,100,0,5,5,6,0,0,3,2,-6,0,0,39.75
Joe Ingles,UTA,@HOU,2020-02-09,W,33,3,1,2,50.0,1,2,50.0,0,0,-,0,5,5,7,1,0,4,3,2,0,0,20.25
Jordan Clarkson,UTA,@HOU,2020-02-09,W,29,30,12,19,63.2,3,7,42.9,3,3,100,2,4,6,2,0,0,0,0,5,0,0,42.0
Rudy Gobert,UTA,@HOU,2020-02-09,W,37,12,3,6,50.0,0,0,-,6,8,75.0,4,11,15,0,1,1,1,0,-6,1,0,35.75
Tyson Chandler,HOU,vs.UTA,2020-02-09,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0,0,0.0
Tony Bradley,UTA,@HOU,2020-02-09,W,4,2,1,1,100,0,0,-,0,0,-,2,1,3,0,0,0,0,1,-4,0,0,5.75
Austin Rivers,HOU,vs.UTA,2020-02-09,L,19,2,0,4,0.0,0,2,0.0,2,2,100,0,1,1,1,0,0,1,0,-7,0,0,4.25
James Harden,HOU,vs.UTA,2020-02-09,L,39,28,11,23,47.8,2,13,15.4,4,6,66.7,1,9,10,10,1,2,1,5,8,1,1,66.5
Russell Westbrook,HOU,vs.UTA,2020-02-09,L,38,39,18,33,54.5,1,2,50.0,2,4,50.0,1,5,6,4,1,1,3,3,4,0,0,55.5
Mike Conley,UTA,@HOU,2020-02-09,W,34,20,8,16,50.0,2,5,40.0,2,3,66.7,0,5,5,6,0,0,2,4,9,0,0,35.25
JaMychal Green,LAC,@CLE,2020-02-09,W,24,6,2,7,28.6,1,5,20.0,1,2,50.0,4,3,7,3,0,0,0,2,28,0,0,19.75
Andre Drummond,CLE,vs.LAC,2020-02-09,L,29,19,7,17,41.2,2,3,66.7,3,7,42.9,7,7,14,3,2,1,4,1,-22,1,0,47.5
Larry Nance Jr.,CLE,vs.LAC,2020-02-09,L,20,2,1,6,16.7,0,3,0.0,0,0,-,1,3,4,0,0,0,2,0,-21,0,0,6.0
Kevin Porter Jr.,CLE,vs.LAC,2020-02-09,L,28,17,8,14,57.1,1,3,33.3,0,1,0.0,2,2,4,3,1,0,0,2,-24,0,0,29.0
Lou Williams,LAC,@CLE,2020-02-09,W,26,25,8,14,57.1,1,3,33.3,8,10,80.0,0,5,5,3,2,0,2,0,28,0,0,39.25
Darius Garland,CLE,vs.LAC,2020-02-09,L,28,6,3,11,27.3,0,4,0.0,0,0,-,0,0,0,6,1,0,2,2,-23,0,0,16.0
Kevin Love,CLE,vs.LAC,2020-02-09,L,26,10,3,8,37.5,2,7,28.6,2,2,100,1,8,9,2,1,0,1,2,-25,0,0,26.75
Collin Sexton,CLE,vs.LAC,2020-02-09,L,28,13,4,13,30.8,1,4,25.0,4,4,100,1,1,2,3,1,0,2,4,-28,0,0,21.5
Johnathan Motley,LAC,@CLE,2020-02-09,W,11,6,3,4,75.0,0,0,-,0,0,-,1,1,2,1,0,0,1,0,5,0,0,9.5
Rodney McGruder,LAC,@CLE,2020-02-09,W,22,8,4,6,66.7,0,1,0.0,0,0,-,2,2,4,3,1,0,0,1,20,0,0,19.5
Landry Shamet,LAC,@CLE,2020-02-09,W,27,11,4,9,44.4,3,7,42.9,0,0,-,0,4,4,3,0,1,0,3,29,0,0,24.0
Cedi Osman,CLE,vs.LAC,2020-02-09,L,25,7,3,8,37.5,0,3,0.0,1,2,50.0,1,3,4,1,1,0,2,2,-20,0,0,14.5
Mfiondu Kabengele,LAC,@CLE,2020-02-09,W,10,8,2,6,33.3,2,6,33.3,2,2,100,0,1,1,0,1,0,1,3,1,0,0,11.75
Tristan Thompson,CLE,vs.LAC,2020-02-09,L,19,7,2,6,33.3,1,2,50.0,2,2,100,2,4,6,2,0,0,1,1,-19,0,0,17.5
Dante Exum,CLE,vs.LAC,2020-02-09,L,8,0,0,1,0.0,0,0,-,0,0,-,0,0,0,2,1,0,0,1,-4,0,0,5.0
Ivica Zubac,LAC,@CLE,2020-02-09,W,17,8,4,4,100,0,0,-,0,0,-,0,4,4,4,1,2,0,4,14,0,0,25.0
Malik Newman,CLE,vs.LAC,2020-02-09,L,4,2,0,2,0.0,0,1,0.0,2,2,100,0,0,0,0,0,0,1,0,-3,0,0,1.5
Dean Wade,CLE,vs.LAC,2020-02-09,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-3,0,0,1.25
Alfonzo McKinnie,CLE,vs.LAC,2020-02-09,L,21,9,4,9,44.4,0,3,0.0,1,2,50.0,1,0,1,0,1,0,1,2,-13,0,0,11.75
Amir Coffey,LAC,@CLE,2020-02-09,W,25,10,5,7,71.4,0,2,0.0,0,1,0.0,0,4,4,1,1,1,2,2,16,0,0,19.5
Montrezl Harrell,LAC,@CLE,2020-02-09,W,21,19,8,10,80.0,0,0,-,3,4,75.0,3,6,9,3,0,1,1,1,22,0,0,36.25
Marcus Morris Sr.,LAC,@CLE,2020-02-09,W,22,10,5,12,41.7,0,4,0.0,0,0,-,0,4,4,2,3,0,1,2,15,0,0,23.5
Paul George,LAC,@CLE,2020-02-09,W,24,22,8,12,66.7,5,8,62.5,1,1,100,0,6,6,4,1,1,3,2,20,0,0,40.5
Terance Mann,LAC,@CLE,2020-02-09,W,12,0,0,2,0.0,0,0,-,0,0,-,0,2,2,1,1,0,0,1,7,0,0,6.0
Shaquille Harrison,CHI,@PHI,2020-02-09,L,7,5,2,3,66.7,0,0,-,1,1,100,0,1,1,0,1,1,1,2,-4,0,0,9.75
Matisse Thybulle,PHI,vs.CHI,2020-02-09,W,18,6,2,5,40.0,1,4,25.0,1,1,100,1,0,1,1,0,0,0,2,5,0,0,9.25
Ryan Arcidiacono,CHI,@PHI,2020-02-09,L,19,5,2,4,50.0,1,2,50.0,0,0,-,1,3,4,1,0,0,2,0,-10,0,0,11.0
Zach LaVine,CHI,@PHI,2020-02-09,L,40,32,11,21,52.4,5,10,50.0,5,6,83.3,0,1,1,8,3,1,9,1,-3,0,0,51.25
Thaddeus Young,CHI,@PHI,2020-02-09,L,37,10,5,11,45.5,0,1,0.0,0,0,-,4,6,10,0,1,0,2,3,1,1,0,25.0
Joel Embiid,PHI,vs.CHI,2020-02-09,W,31,28,8,17,47.1,1,3,33.3,11,14,78.6,6,6,12,5,3,4,4,4,-1,1,0,64.5
Furkan Korkmaz,PHI,vs.CHI,2020-02-09,W,32,31,12,17,70.6,6,11,54.5,1,1,100,1,4,5,2,3,0,2,0,14,0,0,48.25
Ben Simmons,PHI,vs.CHI,2020-02-09,W,37,19,6,13,46.2,0,0,-,7,10,70.0,3,7,10,10,4,0,7,3,-2,1,1,55.5
Tobias Harris,PHI,vs.CHI,2020-02-09,W,30,14,5,9,55.6,2,2,100,2,2,100,0,3,3,4,0,0,1,2,-5,0,0,24.25
Shake Milton,PHI,vs.CHI,2020-02-09,W,13,5,2,5,40.0,1,2,50.0,0,0,-,1,0,1,2,1,0,1,1,-7,0,0,11.25
Mike Scott,PHI,vs.CHI,2020-02-09,W,18,2,1,4,25.0,0,2,0.0,0,0,-,1,3,4,1,0,0,0,0,12,0,0,8.5
Josh Richardson,PHI,vs.CHI,2020-02-09,W,19,3,1,2,50.0,0,0,-,1,4,25.0,0,0,0,2,1,0,1,3,9,0,0,7.5
Coby White,CHI,@PHI,2020-02-09,L,26,6,3,10,30.0,0,4,0.0,0,0,-,1,5,6,3,0,0,1,2,-11,0,0,17.5
Cristiano Felicio,CHI,@PHI,2020-02-09,L,19,13,5,7,71.4,0,1,0.0,3,4,75.0,3,4,7,0,1,0,2,5,-8,0,0,22.75
Glenn Robinson III,PHI,vs.CHI,2020-02-09,W,12,10,5,6,83.3,0,1,0.0,0,0,-,1,0,1,0,0,0,0,1,11,0,0,11.25
Luke Kornet,CHI,@PHI,2020-02-09,L,29,25,10,14,71.4,4,8,50.0,1,1,100,1,1,2,0,0,1,1,6,1,0,0,31.0
Al Horford,PHI,vs.CHI,2020-02-09,W,30,0,0,6,0.0,0,2,0.0,0,0,-,1,6,7,2,0,2,0,2,-1,0,0,15.75
Chandler Hutchison,CHI,@PHI,2020-02-09,L,31,5,2,9,22.2,1,2,50.0,0,2,0.0,2,5,7,4,1,0,0,3,-6,0,0,22.25
Tomas Satoransky,CHI,@PHI,2020-02-09,L,32,10,3,9,33.3,1,4,25.0,3,3,100,2,2,4,7,1,0,0,2,5,0,0,28.0
Pascal Siakam,TOR,vs.BKN,2020-02-08,W,34,20,9,22,40.9,0,5,0.0,2,4,50.0,0,7,7,4,0,1,0,1,-8,0,0,36.75
Serge Ibaka,TOR,vs.BKN,2020-02-08,W,32,12,5,9,55.6,1,3,33.3,1,2,50.0,1,5,6,2,0,1,0,1,-4,0,0,25.0
Jarrett Allen,BKN,@TOR,2020-02-08,L,19,3,1,2,50.0,0,0,-,1,2,50.0,3,3,6,0,1,0,1,2,-8,0,0,12.0
Taurean Prince,BKN,@TOR,2020-02-08,L,27,17,6,16,37.5,4,10,40.0,1,2,50.0,1,1,2,2,1,1,2,1,-4,0,0,27.5
Joe Harris,BKN,@TOR,2020-02-08,L,33,11,5,9,55.6,1,4,25.0,0,0,-,3,4,7,2,0,0,0,2,1,0,0,23.25
Spencer Dinwiddie,BKN,@TOR,2020-02-08,L,36,21,8,17,47.1,2,6,33.3,3,4,75.0,1,5,6,11,1,0,0,2,-3,1,0,49.5
OG Anunoby,TOR,vs.BKN,2020-02-08,W,29,5,2,4,50.0,0,1,0.0,1,2,50.0,0,4,4,1,2,0,0,1,-5,0,0,15.5
Oshae Brissett,TOR,vs.BKN,2020-02-08,W,8,1,0,2,0.0,0,2,0.0,1,2,50.0,1,0,1,1,0,0,0,1,10,0,0,3.75
Chris Boucher,TOR,vs.BKN,2020-02-08,W,16,9,2,5,40.0,0,2,0.0,5,5,100,2,3,5,0,0,3,2,5,5,0,0,20.25
DeAndre Jordan,BKN,@TOR,2020-02-08,L,29,15,6,10,60.0,0,0,-,3,4,75.0,3,11,14,1,0,3,3,1,7,1,0,40.0
