PLAYER  ,POS  ,DK_proj,Pts_proj,Reb_proj,Ast_proj,MSE_DK,MSE_Pts,MSE_Reb,MSE_Ast,Salary,Position,Cost_per_point,Points_Rank,Salary_Rank,Eligible
Terrence Ross,SF,19.17,9.48,2.23,1.22,74.71,88.8,2.65,1.21,5800.0,SG/SF,302.56,91.0,58.5,True
Garrett Temple,SF,18.97,10.61,2.08,1.44,93.52,36.99,5.07,2.64,4800.0,SG/SF,253.03,92.0,89.5,True
Eric Gordon,SG,18.93,12.99,2.2,0.88,109.03,57.09,2.22,1.98,5700.0,SG/SF,301.11,93.0,62.0,True
Miles Bridges,PF,18.8,12.98,4.77,4.3,145.1,71.24,11.08,3.38,4500.0,SF/PF,239.36,94.0,103.0,True
Wayne Ellington,SG,18.62,10.81,2.63,1.26,93.94,49.57,2.66,1.23,3900.0,SG,209.45,95.0,124.0,True
Sterling Brown,SG,18.43,9.11,5.13,1.39,86.41,26.46,7.21,1.11,3700.0,SG/SF,200.76,96.0,132.5,True
Tristan Thompson,C,18.25,6.15,7.04,1.6400000000000001,167.55,55.59,13.11,3.79,4500.0,C,246.58,97.0,103.0,True
Nemanja Bjelica,PF,18.17,7.92,4.49,1.6,166.24,46.81,11.32,5.5,3000.0,PF/C,165.11,98.0,148.5,False
Tyler Herro,SG,18.05,11.3,3.56,0.42,204.77,84.31,13.35,8.12,7100.0,PG/SG,393.35,99.0,36.5,False
Cory Joseph,PG,17.86,8.12,2.66,2.42,66.9,17.15,3.3,6.42,3200.0,PG/SG,179.17,100.0,144.5,True
Delon Wright,PG,17.44,7.98,3.22,2.38,82.35,22.02,5.63,3.37,5000.0,PG/SG,286.7,101.0,82.0,True
Nerlens Noel,C,17.39,7.31,5.22,0.59,62.23,15.54,6.31,1.19,3400.0,C,195.51,102.0,140.0,True
Mitchell Robinson,C,17.28,5.95,5.4,0.45,83.74,19.95,10.59,0.62,5900.0,C,341.44,103.0,55.5,True
Landry Shamet,PG,17.14,10.0,1.81,2.1,80.95,42.77,1.17,2.81,3000.0,SG,175.03,104.0,148.5,True
Darius Garland,PG,17.03,7.39,2.37,3.76,129.63,23.28,4.39,8.58,6300.0,PG,369.94,105.0,49.0,False
Danny Green,SG,16.79,7.18,3.94,1.6,102.96,37.28,4.1,1.93,4700.0,SF,279.93,106.0,93.5,True
Patty Mills,PG,16.31,9.5,1.51,2.28,66.22,43.07,1.86,3.43,4900.0,PG/SG,300.43,107.0,86.0,True
Austin Rivers,SG,16.19,2.2800000000000002,2.59,1.86,107.12,65.04,3.18,3.58,4000.0,PG/SG,247.07,108.0,121.0,True
Jakob Poeltl,C,16.04,6.12,5.29,0.46,90.5,16.35,10.67,3.57,3800.0,C,236.91,109.5,128.0,True
Ben McLemore,SG,16.04,8.89,3.49,1.46,97.15,51.3,3.46,1.01,3800.0,SG,236.91,109.5,128.0,True
Hamidou Diallo,SG,15.75,6.81,4.28,1.29,179.01,57.1,12.5,2.3,4100.0,SG/SF,260.32,111.0,117.0,True
